Factor_ID,Card_ID,Factor_Name,Factor_Type,Factor_Family,Factor_Bank,Cost_Category,Outcome_Category,Cost_Boundary,Performance_Boundary,Technology_or_Scope,Published_Display_Value,Primary_Figure,Parallel_Figures,Value_Low,Value_Base,Value_High,Value_Parse_Note,Currency,Numerator_Unit,Denominator_Unit,Unit_Hint,Frequency,Performance_Basis,Time_Basis,Geography,Sector,Sector_Not_Included,Price_Year,Reference_Year,VAT_Basis,Primary_Evidence_ID,Evidence_Link_Count,Derivation_Method,Interface_Language,Applicability_Caveat,Selection_Group_ID,Selection_Rule,Scenario_Availability,Calc_Readiness,Factor_Status,Lifecycle_Status,Access_Classification,Factor_Availability,Version,Last_Reviewed,Source_Workbook,Source_Sheet,Source_Row
CTF-0001,CARD-0003,Adopt a net-zero buildings plan — Payback,timing,Energy & Buildings,Timing Factors,,Payback,,Calculate payback for a net-zero building plan as quoted implementation cost ÷ verified annual utility and maintenance savings.,Buildings & Refrigerants & Fugitive Emissions,,,,,,,Empty published value; numeric columns left blank.,,,,,,,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,,0,,Calculate payback for a net-zero building plan as quoted implementation cost ÷ verified annual utility and maintenance savings.,"Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0001,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,GAP,1.0,2026-08-18,Consolidate.xlsx,工作表1,2
CTF-0002,CARD-0007,Measure and verify building energy performance — ROI,timing,Energy & Buildings,Timing Factors,,ROI,,"Allow 9–12 months of performance data for the first annual M&V result, followed by annual reporting.",Buildings & Refrigerants & Fugitive Emissions,Option C whole-facility M&V: at least 9 months (preferably 12 months) of performance data for the first annual savings result; annual M&V reporting thereafter,Option C whole-facility M&V: at least 9 months (preferably 12 months) of performance data for the first annual savings result; annual M&V reporting thereafter,,,9,,Single published figure stored as Value_Base.,,,,Option C whole facility M&V: at least months (preferably months) of performance data for the first annual savings result; annual M&V reporting thereafter,annual,,annual,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Exclude sites without sufficient interval or billing data until a baseline can be established.,,,,CEVID-0003,1,First annual savings result = annualised from at least 9 months (preferably 12 months) of performance data; reporting interval = each performance year,"Allow 9–12 months of performance data for the first annual M&V result, followed by annual reporting.",Exclude sites without sufficient interval or billing data until a baseline can be established.,SG-INIT-0002,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,3
CTF-0003,CARD-0011,Optimise and upgrade HVAC systems and controls — Payback,timing,Energy & Buildings,Timing Factors,,Payback,,"HVAC recommissioning has a cited simple payback of 0.8–3.5 years, with a 1.7-year median; a 400 kW high-efficiency chiller premium has a 2.2-year energy-only payback benchmark.",Buildings & Refrigerants & Fugitive Emissions,"Recommissioning: 0.8–3.5 years; median simple payback 1.7 years
High-efficiency chiller incremental premium: 2.2-year energy-only simple payback for a 400 kW benchmark",Recommissioning: 0.8–3.5 years; median simple payback 1.7 years,High-efficiency chiller incremental premium: 2.2-year energy-only simple payback for a 400 kW benchmark,0.8,,3.5,Range taken from the published display string. Value_Base left blank (no midpoint invented).,,,,Recommissioning: years; median simple payback years High efficiency chiller incremental premium: year energy only simple payback for a kW benchmark,,,year,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0012,3,"Recommissioning simple payback = project cost ÷ first-year energy cost saving; 25th percentile 0.8 years, median 1.7 years, 75th percentile 3.5 years; sample 656 projects
Chiller premium payback = £10,000 incremental capital cost ÷ £4,600 annual energy saving = 2.17 years ≈ 2.2 years","HVAC recommissioning has a cited simple payback of 0.8–3.5 years, with a 1.7-year median; a 400 kW high-efficiency chiller premium has a 2.2-year energy-only payback benchmark.","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0003,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,4
CTF-0004,CARD-0015,Install smart draught beverage dispense systems — ROI,timing,Energy & Buildings,Timing Factors,,ROI,,"Adding Cellar Manager and Remote Manager costs £564 a year and produces £1,478 net annual benefit in HEINEKEN’s published examples, equivalent to 262% annual ROI.",Energy Management,"Annual service fees: £564 ex VAT; gross annual energy-cost saving: £2,042; net annual benefit: £1,478; annual ROI: 262%; assumed electricity price: £0.2929/kWh","Annual service fees: £564 ex VAT; gross annual energy-cost saving: £2,042; net annual benefit: £1,478; annual ROI: 262%; assumed electricity price: £0.2929/kWh",,,564,,Single published figure stored as Value_Base.,GBP,percent,kWh,Annual service fees: ex VAT; gross annual energy cost saving: ; net annual benefit: ; annual ROI: %; assumed electricity price: /kWh,annual,,annual,,"Pubs, bars and breweries; restaurants, hotels, experiential leisure and contract caterers operating draught beer or cider","Sites without draught beer or cider service, including most QSR; concession sites without control of dispense equipment",,,,CEVID-0018,2,"Annual fees = (£31 + £16) × 12 = £564. Gross annual saving = £1,529 + £513 = £2,042. Net annual benefit = £2,042 − £564 = £1,478. Annual ROI = £1,478 ÷ £564 = 262%. This combines two supplier worked examples at £0.2929/kWh and excludes wider product, water, chemical, labour and sales benefits.","Adding Cellar Manager and Remote Manager costs £564 a year and produces £1,478 net annual benefit in HEINEKEN’s published examples, equivalent to 262% annual ROI.","Sites without draught beer or cider service, including most QSR; concession sites without control of dispense equipment",SG-INIT-0004,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,5
CTF-0005,CARD-0019,Install timer controls across eligible equipment — Payback,timing,Energy & Buildings,Timing Factors,,Payback,,Hospitality examples show timer investments paying back in under one month for a hotel whirlpool blower and 3.8 years for a restaurant hot-water boiler.,Buildings & Refrigerants & Fugitive Emissions,"Hotel whirlpool-blower run-back timer: payback under 1 month; The Folly hot-water timer audit summary: £68 cost, £18 annual saving and 3.8-year payback","Hotel whirlpool-blower run-back timer: payback under 1 month; The Folly hot-water timer audit summary: £68 cost, £18 annual saving and 3.8-year payback",,,1,,Single published figure stored as Value_Base.,GBP,money,,Hotel whirlpool blower run back timer: payback under month; The Folly hot water timer audit summary: cost annual saving and year payback,annual,,annual,,"Restaurants; QSR; pubs, bars and breweries; contract caterers with control of site equipment; hotels; experiential leisure","Life-safety, security and IT systems; food-storage refrigeration compressors without validated smart controls; 24/7 guest-critical loads; equipment without a safe shutdown sequence or asset-control rights",,,,CEVID-0028,2,"Simple payback = installed cost ÷ annual energy-cost saving. The Folly audit summary reports £68 ÷ £18/year = 3.8 years. The hotel guide reports a sub-one-month payback for a 15-minute wind-up timer. These benchmarks should not be applied to other loads without confirming installed cost, tariff, load and avoidable runtime.",Hospitality examples show timer investments paying back in under one month for a hotel whirlpool blower and 3.8 years for a restaurant hot-water boiler.,"Life-safety, security and IT systems; food-storage refrigeration compressors without validated smart controls; 24/7 guest-critical loads; equipment without a safe shutdown sequence or asset-control rights",SG-INIT-0005,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,6
CTF-0006,CARD-0023,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls — Payback",timing,Energy & Buildings,Timing Factors,,Payback,,"The cited VSD building-pump retrofit paid back in 0.81 years, while the demand-controlled kitchen ventilation pub case paid back in 1.88 years.",Buildings & Refrigerants & Fugitive Emissions,"VSD building-pump retrofit: 0.81-year simple payback (approximately 9.8 months)
Demand-controlled kitchen ventilation pub case: 1.88-year simple payback",VSD building-pump retrofit: 0.81-year simple payback (approximately 9.8 months),Demand-controlled kitchen ventilation pub case: 1.88-year simple payback,,0.81,,Single published figure stored as Value_Base.,,,,VSD building pump retrofit: year simple payback (approximately months) Demand controlled kitchen ventilation pub case: year simple payback,,,month,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure; kitchen demand controls apply only where commercial kitchens and relevant asset/control rights exist","Fixed-speed or process-critical loads where compatibility, duty profile or run hours do not support variable control; sites without commercial kitchens for DCKV; sites where the operator cannot modify ventilation or motor controls.",,,,CEVID-0040,2,"VSD: £2,900 implementation cost ÷ £3,560 annual electricity saving = 0.815 years = 9.8 months
DCKV: £16,997 implied investment ÷ £9,041 annual saving = 1.88 years","The cited VSD building-pump retrofit paid back in 0.81 years, while the demand-controlled kitchen ventilation pub case paid back in 1.88 years.","Fixed-speed or process-critical loads where compatibility, duty profile or run hours do not support variable control; sites without commercial kitchens for DCKV; sites where the operator cannot modify ventilation or motor controls.",SG-INIT-0006,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,7
CTF-0007,CARD-0027,"Recover and reuse waste heat from refrigeration, cooking or wastewater — Payback",timing,Energy & Buildings,Timing Factors,,Payback,,Recovering refrigeration heat had a gross payback above 2.9 years and a 2-year payback after a 30% grant.,Buildings & Refrigerants & Fugitive Emissions,Refrigeration heat recovery: >2.9-year gross simple payback from rounded case figures; 2-year reported payback after a 30% grant; general guidance 3–5 years,Refrigeration heat recovery: >2.9-year gross simple payback from rounded case figures; 2-year reported payback after a 30% grant; general guidance 3–5 years,,3,,5,Range taken from the published display string. Value_Base left blank (no midpoint invented).,,percent,,Refrigeration heat recovery: > year gross simple payback from rounded case figures; year reported payback after a % grant; general guidance years,,,year,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Sites without a stable heat source and coincident heat demand, or without asset/pipework control.",,,,CEVID-0048,2,"Gross: >£64,000 ÷ <£22,000/year = >2.9 years
After 30% grant: >£64,000 × 70% ÷ <£22,000/year = >2.0 years; the source reports a two-year payback using unrounded project figures",Recovering refrigeration heat had a gross payback above 2.9 years and a 2-year payback after a 30% grant.,"Sites without a stable heat source and coincident heat demand, or without asset/pipework control.",SG-INIT-0007,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,8
CTF-0008,CARD-0031,Upgrade boiler burner controls and balance heat-distribution systems — Payback,timing,Energy & Buildings,Timing Factors,,Payback,,Upgrading boiler burner controls and balancing heat distribution had a 2-year payback.,Buildings & Refrigerants & Fugitive Emissions,2 years,2 years,,,2,,Single published figure stored as Value_Base.,,,,years,,,year,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0055,1,Reported ROI = 2 years,Upgrading boiler burner controls and balancing heat distribution had a 2-year payback.,"Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0008,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,9
CTF-0009,CARD-0035,"Upgrade domestic hot-water generation, storage and circulation controls — Payback",timing,Energy & Buildings,Timing Factors,,Payback,,Installing demand-based hot-water circulation controls had a 1.8–2.1-year payback in two measured hotel cases.,Buildings & Refrigerants & Fugitive Emissions,1.8–2.1-year simple payback in two fully measured hotel cases; 1.0 year estimated for a third hotel,1.8–2.1-year simple payback in two fully measured hotel cases; 1.0 year estimated for a third hotel,,1.8,,2.1,Range taken from the published display string. Value_Base left blank (no midpoint invented).,,,,year simple payback in two fully measured hotel cases; year estimated for a third hotel,,,year,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0062,1,"Measured hotel 1: £1,998 ÷ £952/year = 2.10 years
Measured hotel 2: £1,739 ÷ £988/year = 1.76 years ≈ 1.8 years
Third hotel: £1,453 ÷ £1,478/year = 0.98 years ≈ 1.0 year; annual saving was estimated, not measured",Installing demand-based hot-water circulation controls had a 1.8–2.1-year payback in two measured hotel cases.,"Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0009,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,10
CTF-0010,CARD-0039,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours — Payback",timing,Energy & Buildings,Timing Factors,,Payback,,Installing timers and automated shutdown controls has a cited payback of 0.7 years for kitchens; 4.1 years for miscellaneous devices.,Buildings & Refrigerants & Fugitive Emissions,0.7 years for kitchens; 4.1 years for miscellaneous devices,0.7 years for kitchens; 4.1 years for miscellaneous devices,,,0.7,,Single published figure stored as Value_Base.,,,,years for kitchens; years for miscellaneous devices,,,year,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Safety-critical, food-safety, refrigeration, life-safety or continuously required loads.",,,,CEVID-0068,1,Published simple-payback results for schedule-timer advanced power strips,Installing timers and automated shutdown controls has a cited payback of 0.7 years for kitchens; 4.1 years for miscellaneous devices.,"Safety-critical, food-safety, refrigeration, life-safety or continuously required loads.",SG-INIT-0010,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,11
