Initiative_ID,Initiative_Name,Topic,Sub_Topic,Cost_Factor_ID,Carbon_Factor_ID,Timing_Factor_ID,Efficiency_Factor_ID,Filled_Value_Slots,Empty_Value_Slots,Slots_With_Method,Slots_With_Evidence,Has_Case,Calculation_Readiness,Gap_Note
INIT-0001,Adopt a net-zero buildings plan,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0001,CPF-0001,CTF-0001,CEF-0001,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0002,Measure and verify building energy performance,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0002,CPF-0002,CTF-0002,CEF-0002,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0003,Optimise and upgrade HVAC systems and controls,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0003,CPF-0003,CTF-0003,CEF-0003,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0004,Install smart draught beverage dispense systems,Energy & Buildings,Energy Management,CCF-0004,CPF-0004,CTF-0004,CEF-0004,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0005,Install timer controls across eligible equipment,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0005,CPF-0005,CTF-0005,CEF-0005,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0006,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0006,CPF-0006,CTF-0006,CEF-0006,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0007,"Recover and reuse waste heat from refrigeration, cooking or wastewater",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0007,CPF-0007,CTF-0007,CEF-0007,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0008,Upgrade boiler burner controls and balance heat-distribution systems,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0008,CPF-0008,CTF-0008,CEF-0008,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0009,"Upgrade domestic hot-water generation, storage and circulation controls",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0009,CPF-0009,CTF-0009,CEF-0009,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0010,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0010,CPF-0010,CTF-0010,CEF-0010,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0011,"Implement power management for small-power, IT and server-room equipment",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0011,CPF-0011,CTF-0011,CEF-0011,3,1,3,3,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0012,Upgrade lift and escalator drives and controls,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0012,CPF-0012,CTF-0012,CEF-0012,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0013,"Optimise swimming-pool circulation, heating, covers and backwashing",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0013,CPF-0013,CTF-0013,CEF-0013,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0014,Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0014,CPF-0014,CTF-0014,CEF-0014,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0015,Install refrigerant leak detection and implement rapid repair,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0015,CPF-0015,CTF-0015,CEF-0015,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0016,Maintain a governed refrigerant inventory and leakage record,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0016,CPF-0016,CTF-0016,CEF-0016,1,3,1,1,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0017,Recover refrigerants at equipment end of life and document transfer,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0017,CPF-0017,CTF-0017,CEF-0017,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0018,"Upgrade refrigeration equipment, doors, seals, fans and controls",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0018,CPF-0018,CTF-0018,CEF-0018,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0019,CPF-0019,CTF-0019,CEF-0019,2,2,2,2,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0020,Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,CCF-0020,CPF-0020,CTF-0020,CEF-0020,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0021,Conduct whole-life carbon assessments for major capital projects,Energy & Buildings,Capital Goods (sub group supply chain),CCF-0021,CPF-0021,CTF-0021,CEF-0021,1,3,1,1,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,Energy & Buildings,Capital Goods (sub group supply chain),CCF-0022,CPF-0022,CTF-0022,CEF-0022,0,4,0,0,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0023,Apply carbon criteria at capital-project investment and design gates,Energy & Buildings,Capital Goods (sub group supply chain),CCF-0023,CPF-0023,CTF-0023,CEF-0023,1,3,1,1,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0024,Require EPDs or product-specific carbon data for priority materials and equipment,Energy & Buildings,Capital Goods (sub group supply chain),CCF-0024,CPF-0024,CTF-0024,CEF-0024,2,2,2,2,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0025,"Prioritise refurbishment, reuse and adaptation before new construction",Energy & Buildings,Capital Goods (sub group supply chain),CCF-0025,CPF-0025,CTF-0025,CEF-0025,4,0,4,3,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0026,Require component reuse and material recovery in building and fit-out projects,Energy & Buildings,Capital Goods (sub group supply chain),CCF-0026,CPF-0026,CTF-0026,CEF-0026,4,0,4,3,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0027,Specify lower-carbon and responsibly sourced construction materials,Energy & Buildings,Capital Goods (sub group supply chain),CCF-0027,CPF-0027,CTF-0027,CEF-0027,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0028,"Specify durability, repairability, modularity and supplier take-back for capital equipment",Energy & Buildings,Capital Goods (sub group supply chain),CCF-0028,CPF-0028,CTF-0028,CEF-0028,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0029,"Design buildings and fit-outs for adaptability, disassembly and material recovery",Energy & Buildings,Capital Goods (sub group supply chain),CCF-0029,CPF-0029,CTF-0029,CEF-0029,3,1,3,2,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0030,Commission new buildings and major refurbishments against designed operational performance,Energy & Buildings,Capital Goods (sub group supply chain),CCF-0030,CPF-0030,CTF-0030,CEF-0030,2,2,2,2,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0031,Apply verified energy-efficiency criteria when replacing kitchen equipment,Energy & Buildings,Capital Goods (sub group supply chain),CCF-0031,CPF-0031,CTF-0031,CEF-0031,2,2,2,2,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,Energy & Buildings,Capital Goods (sub group supply chain),CCF-0032,CPF-0032,CTF-0032,CEF-0032,1,3,1,1,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0033,Apply environmental-performance criteria when selecting leased sites,Energy & Buildings,"Leased, Tenanted & Franchised Sites",CCF-0033,CPF-0033,CTF-0033,CEF-0033,1,3,1,1,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0034,Apply energy and carbon criteria to lease renewals and franchise onboarding,Energy & Buildings,"Leased, Tenanted & Franchised Sites",CCF-0034,CPF-0034,CTF-0034,CEF-0034,1,3,1,1,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0035,"Include green performance, data and cooperation clauses in leases and franchise agreements",Energy & Buildings,"Leased, Tenanted & Franchised Sites",CCF-0035,CPF-0035,CTF-0035,CEF-0035,1,3,1,1,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0036,"Collect and quality-check energy and emissions data from leased, tenanted and franchised sites",Energy & Buildings,"Leased, Tenanted & Franchised Sites",CCF-0036,CPF-0036,CTF-0036,CEF-0036,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0037,Secure rights and approval routes for environmental improvements in leased sites,Energy & Buildings,"Leased, Tenanted & Franchised Sites",CCF-0037,CPF-0037,CTF-0037,CEF-0037,1,3,1,1,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0038,Enable renewable electricity procurement under lease and franchise arrangements,Energy & Buildings,"Leased, Tenanted & Franchised Sites",CCF-0038,CPF-0038,CTF-0038,CEF-0038,3,1,3,3,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0039,"Agree landlord-tenant decarbonisation plans with actions, funding and accountability",Energy & Buildings,"Leased, Tenanted & Franchised Sites",CCF-0039,CPF-0039,CTF-0039,CEF-0039,4,0,3,4,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0040,Set and monitor energy-performance standards for franchisees,Energy & Buildings,"Leased, Tenanted & Franchised Sites",CCF-0040,CPF-0040,CTF-0040,CEF-0040,1,3,1,1,YES,DISPLAY_ONLY,"One or more slots are missing a published value, method, and/or evidence URL. See Factor Gap Register."
INIT-0041,Complete an Energy Health Check,Energy & Buildings,Energy Management,CCF-0041,CPF-0041,CTF-0041,CEF-0041,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
INIT-0042,Install battery storage (BESS),Energy & Buildings,Energy Procurement & Renewables,CCF-0042,CPF-0042,CTF-0042,CEF-0042,4,0,4,4,YES,DISPLAY_ONLY,"All four slots have value, method, and at least one evidence URL."
