Factor_ID,Card_ID,Factor_Name,Factor_Type,Factor_Family,Factor_Bank,Cost_Category,Outcome_Category,Cost_Boundary,Performance_Boundary,Technology_or_Scope,Published_Display_Value,Primary_Figure,Parallel_Figures,Value_Low,Value_Base,Value_High,Value_Parse_Note,Currency,Numerator_Unit,Denominator_Unit,Unit_Hint,Frequency,Performance_Basis,Time_Basis,Geography,Sector,Sector_Not_Included,Price_Year,Reference_Year,VAT_Basis,Primary_Evidence_ID,Evidence_Link_Count,Derivation_Method,Interface_Language,Applicability_Caveat,Selection_Group_ID,Selection_Rule,Scenario_Availability,Calc_Readiness,Factor_Status,Lifecycle_Status,Access_Classification,Factor_Availability,Version,Last_Reviewed,Source_Workbook,Source_Sheet,Source_Row
CEF-0001,CARD-0004,Adopt a net-zero buildings plan — Efficiency,efficiency,Energy & Buildings,Efficiency Factors,,Efficiency,,"Developing a net-zero building plan improves capital sequencing and accountability through a portfolio baseline, costed pathway and milestone tracking.",Buildings & Refrigerants & Fugitive Emissions,,,,,,,Empty published value; numeric columns left blank.,,,,,,published_display,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,,0,,"Developing a net-zero building plan improves capital sequencing and accountability through a portfolio baseline, costed pathway and milestone tracking.","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0001,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,GAP,1.0,2026-08-18,Consolidate.xlsx,工作表1,2
CEF-0002,CARD-0008,Measure and verify building energy performance — Efficiency,efficiency,Energy & Buildings,Efficiency Factors,,Efficiency,,Measuring and verifying performance identified an additional cost-saving opportunity equal to 2.9% of annual reported savings.,Buildings & Refrigerants & Fugitive Emissions,2.9% additional cost-saving opportunity identified versus annual reported savings,2.9% additional cost-saving opportunity identified versus annual reported savings,,,2.9,,Single published figure stored as Value_Base.,,percent,,% additional cost saving opportunity identified versus annual reported savings,annual,published_display,annual,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Exclude sites without sufficient interval or billing data until a baseline can be established.,,,,CEVID-0004,2,£13.1275m ÷ £447.6676m = 2.9%,Measuring and verifying performance identified an additional cost-saving opportunity equal to 2.9% of annual reported savings.,Exclude sites without sufficient interval or billing data until a baseline can be established.,SG-INIT-0002,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,3
CEF-0003,CARD-0012,Optimise and upgrade HVAC systems and controls — Efficiency,efficiency,Energy & Buildings,Efficiency Factors,,Efficiency,,Recommissioning restores intended control performance before capital replacement; benchmark upgrades raise chiller SSEER from 3.6 to 4.4 and reduce AHU SFP from 2.6 to 2.3 W/(l/s).,Buildings & Refrigerants & Fugitive Emissions,"Recommissioning: median 6.4% whole-building source-energy saving
Chiller specification benchmark: SSEER 3.6 → 4.4 (+22.2%); theoretical input-energy reduction 18.2% at equal cooling output
AHU specification benchmark: SFP 2.6 → 2.3 W/(l/s) (−11.5%) at equal airflow and runtime",Recommissioning: median 6.4% whole-building source-energy saving,Chiller specification benchmark: SSEER 3.6 → 4.4 (+22.2%); theoretical input-energy reduction 18.2% at equal cooling output | AHU specification benchmark: SFP 2.6 → 2.3 W/(l/s) (−11.5%) at equal airflow and runtime,,6.4,,Single published figure stored as Value_Base.,,percent,s,Recommissioning: median % whole building source energy saving Chiller specification benchmark: SSEER → (+%); theoretical input energy reduction % at equal cooling output AHU specification benchmark: SFP → W/(l/s) (−%) at equal airflow and runtime,,published_display,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0015,2,"Chiller SSEER uplift = (4.4−3.6)÷3.6=22.2%; theoretical input-energy reduction = 1−(3.6÷4.4)=18.2%
AHU SFP reduction = (2.6−2.3)÷2.6=11.5%; actual site performance depends on load, controls, ductwork and operating hours
Recommissioning median 6.4% reflects whole-building source-energy savings across the cited project sample and is not additive to the equipment-specific benchmarks",Recommissioning restores intended control performance before capital replacement; benchmark upgrades raise chiller SSEER from 3.6 to 4.4 and reduce AHU SFP from 2.6 to 2.3 W/(l/s).,"Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0003,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,4
CEF-0004,CARD-0016,Install smart draught beverage dispense systems — Efficiency,efficiency,Energy & Buildings,Efficiency Factors,,Efficiency,,"Extending line cleaning from weekly to every 6–12 weeks saves around 18,000 pints of beer, water, gas and chemicals and 156 staff hours a year, while consistent quality and training are associated with a 4% sales increase.",Energy Management,"18,000 pints/year combined beer, water, gas and chemicals; 156 staff hours/year; 85% reduction in beer, water, CO2 and cleaning-material waste from weekly to six-weekly cleaning; average 8,000 pints of water/year; 4% annual sales increase","18,000 pints/year combined beer, water, gas and chemicals; 156 staff hours/year; 85% reduction in beer, water, CO2 and cleaning-material waste from weekly to six-weekly cleaning; average 8,000 pints of water/year; 4% annual sales increase",,,18000,,Single published figure stored as Value_Base.,,percent,year,pints/year combined beer water gas and chemicals; staff hours/year; % reduction in beer water CO and cleaning material waste from weekly to six weekly cleaning; average pints of water/year; % annual sales increase,annual,published_display,annual,,"Pubs, bars and breweries; restaurants, hotels, experiential leisure and contract caterers operating draught beer or cider","Sites without draught beer or cider service, including most QSR; concession sites without control of dispense equipment",,,,CEVID-0020,3,"The 18,000-pint figure is HEINEKEN’s current CellarPro average for 10 taps, weekly baseline cleaning and at least three kegs per tap per week. The 156 hours assumes three staff hours per week avoided. The 85% figure compares weekly with six-weekly cleaning. The 4% sales result comprises 3% attributed to improved quality and 1% to staff training in Vianet Beer Insights 2019/20. These outcomes overlap and should not be added together.","Extending line cleaning from weekly to every 6–12 weeks saves around 18,000 pints of beer, water, gas and chemicals and 156 staff hours a year, while consistent quality and training are associated with a 4% sales increase.","Sites without draught beer or cider service, including most QSR; concession sites without control of dispense equipment",SG-INIT-0004,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,5
CEF-0005,CARD-0020,Install timer controls across eligible equipment — Efficiency,efficiency,Energy & Buildings,Efficiency Factors,,Efficiency,,"Removing eight unnecessary operating hours from a 24-hour schedule reduces runtime by 33.3%, while hospitality cases achieved 25% lower remote-cooler energy use and 75% lower whirlpool-blower runtime.",Buildings & Refrigerants & Fugitive Emissions,"Normalised constant load: 8 ÷ 24 = 33.3% runtime reduction; Stonegate Smart Python Timers: further 25% remote-cooler energy reduction; hotel 15-minute run-back timer: 4,380 hours/year or 75% blower-runtime reduction and 11,000 kWh/year; Hospitality Sector Council guidance: up to 40% kitchen-energy reduction when cooking equipment operates only when required; QSR supplier case: up to 27% walk-in, 43% HVAC and 8% lighting energy reduction","Normalised constant load: 8 ÷ 24 = 33.3% runtime reduction; Stonegate Smart Python Timers: further 25% remote-cooler energy reduction; hotel 15-minute run-back timer: 4,380 hours/year or 75% blower-runtime reduction and 11,000 kWh/year; Hospitality Sector Council guidance: up to 40% kitchen-energy reduction when cooking equipment operates only when required; QSR supplier case: up to 27% walk-in, 43% HVAC and 8% lighting energy reduction",,,8,,Single published figure stored as Value_Base.,,percent,year,Normalised constant load: ÷ = % runtime reduction; Stonegate Smart Python Timers: further % remote cooler energy reduction; hotel minute run back timer: hours/year or % blower runtime reduction and kWh/year; Hospitality Sector Council guidance: up to % kitchen energy reduction when cooking equipment operates only when required; QSR supplier case: up to % walk in % HVAC and % lighting energy reduction,annual,published_display,annual,,"Restaurants; QSR; pubs, bars and breweries; contract caterers with control of site equipment; hotels; experiential leisure","Life-safety, security and IT systems; food-storage refrigeration compressors without validated smart controls; 24/7 guest-critical loads; equipment without a safe shutdown sequence or asset-control rights",,,,CEVID-0030,4,Runtime reduction is a direct proxy only for constant loads. Cycling loads require before-and-after metering because energy does not always fall one-for-one with operating hours. The Stonegate and hotel results are equipment-specific direct benchmarks; the kitchen figure is sector guidance; the QSR figures are supplier-reported results from a three-site six-week test and should be treated as indicative rather than additive.,"Removing eight unnecessary operating hours from a 24-hour schedule reduces runtime by 33.3%, while hospitality cases achieved 25% lower remote-cooler energy use and 75% lower whirlpool-blower runtime.","Life-safety, security and IT systems; food-storage refrigeration compressors without validated smart controls; 24/7 guest-critical loads; equipment without a safe shutdown sequence or asset-control rights",SG-INIT-0005,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,6
CEF-0006,CARD-0024,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls — Efficiency",efficiency,Energy & Buildings,Efficiency Factors,,Efficiency,,Reducing pump speed by 16% with a VSD cut measured power demand by 41.8%; high-efficiency motors use 2%–5% less energy; demand-controlled kitchen ventilation cut fan electricity by 69% in the pub case.,Buildings & Refrigerants & Fugitive Emissions,"VSD building-pump case: 16% speed reduction → 41.8% measured power-demand reduction
High-efficiency motors: 2%–5% lower energy use
Demand-controlled kitchen ventilation: 69% fan-energy reduction in the Jack Fairman pub case; 50%–60% supplier-stated typical reduction",VSD building-pump case: 16% speed reduction → 41.8% measured power-demand reduction,High-efficiency motors: 2%–5% lower energy use | Demand-controlled kitchen ventilation: 69% fan-energy reduction in the Jack Fairman pub case; 50%–60% supplier-stated typical reduction,2,,5,Range taken from the published display string. Value_Base left blank (no midpoint invented).,,percent,,VSD building pump case: % speed reduction → % measured power demand reduction High efficiency motors: % lower energy use Demand controlled kitchen ventilation: % fan energy reduction in the Jack Fairman pub case; % supplier stated typical reduction,,published_display,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure; kitchen demand controls apply only where commercial kitchens and relevant asset/control rights exist","Fixed-speed or process-critical loads where compatibility, duty profile or run hours do not support variable control; sites without commercial kitchens for DCKV; sites where the operator cannot modify ventilation or motor controls.",,,,CEVID-0042,3,"The VSD result is measured; ideal variable-torque cross-check = 1−0.84³ = 40.7%, versus 41.8% measured. The high-efficiency-motor range is guidance and depends on existing/replacement efficiency, loading and operating hours. For DCKV, implied baseline fan electricity = 36,167 kWh ÷ 69% = 52,416 kWh/year and implied post-installation use = 16,249 kWh/year; the 50%–60% range is supplier-reported, not guaranteed.",Reducing pump speed by 16% with a VSD cut measured power demand by 41.8%; high-efficiency motors use 2%–5% less energy; demand-controlled kitchen ventilation cut fan electricity by 69% in the pub case.,"Fixed-speed or process-critical loads where compatibility, duty profile or run hours do not support variable control; sites without commercial kitchens for DCKV; sites where the operator cannot modify ventilation or motor controls.",SG-INIT-0006,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,7
CEF-0007,CARD-0028,"Recover and reuse waste heat from refrigeration, cooking or wastewater — Efficiency",efficiency,Energy & Buildings,Efficiency Factors,,Efficiency,,"Recovering refrigeration heat produced 943 MWhth/year from a 250 kWth exchanger, while cooking-extract recovery was modelled at 80 MWh/year.",Buildings & Refrigerants & Fugitive Emissions,"Refrigeration case: 943 MWhth/year recovered from a 250 kWth exchanger
Cooking-extract heat recovery: 80 MWh/year simulated per restaurant, not yet verified
Wastewater heat recovery: ETL Heat Recovery Score ≥0.30 horizontal; ≥0.50 vertical/plant-room",Refrigeration case: 943 MWhth/year recovered from a 250 kWth exchanger,"Cooking-extract heat recovery: 80 MWh/year simulated per restaurant, not yet verified | Wastewater heat recovery: ETL Heat Recovery Score ≥0.30 horizontal; ≥0.50 vertical/plant-room",,943,,Single published figure stored as Value_Base.,,,year,Refrigeration case: MWhth/year recovered from a kWth exchanger Cooking extract heat recovery: MWh/year simulated per restaurant not yet verified Wastewater heat recovery: ETL Heat Recovery Score ≥ horizontal; ≥ vertical/plant room,annual,published_display,annual,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Sites without a stable heat source and coincident heat demand, or without asset/pipework control.",,,,CEVID-0050,3,"Refrigeration case equivalent utilisation = 943,000 kWh ÷ 250 kW = 3,772 full-load hours/year. Cooking-extract value is a Hospitality Sector Council simulation; the field-trial result and payback were not published. Wastewater score combines tested heat-recovery efficiency and an installation utilisation factor.","Recovering refrigeration heat produced 943 MWhth/year from a 250 kWth exchanger, while cooking-extract recovery was modelled at 80 MWh/year.","Sites without a stable heat source and coincident heat demand, or without asset/pipework control.",SG-INIT-0007,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,8
CEF-0008,CARD-0032,Upgrade boiler burner controls and balance heat-distribution systems — Efficiency,efficiency,Energy & Buildings,Efficiency Factors,,Efficiency,,"Upgrading burner controls improved gross efficiency by 0.84%, reduced fuel cost by 7.03%, emissions by 15.14% and NOx by 59.26%.",Buildings & Refrigerants & Fugitive Emissions,NHS: 0.84% gross efficiency improvement; 7.03% fuel-cost reduction; 15.14% emissions reduction; 59.26% NOx reduction,NHS: 0.84% gross efficiency improvement; 7.03% fuel-cost reduction; 15.14% emissions reduction; 59.26% NOx reduction,,,0.84,,Single published figure stored as Value_Base.,,percent,,NHS: % gross efficiency improvement; % fuel cost reduction; % emissions reduction; % NOx reduction,,published_display,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0056,1,Published before/after reductions = 0.84% / 7.03% / 15.14% / 59.26%,"Upgrading burner controls improved gross efficiency by 0.84%, reduced fuel cost by 7.03%, emissions by 15.14% and NOx by 59.26%.","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0008,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,9
CEF-0009,CARD-0036,"Upgrade domestic hot-water generation, storage and circulation controls — Efficiency",efficiency,Energy & Buildings,Efficiency Factors,,Efficiency,,Controlling hot-water circulation reduced DHW thermal energy by 9.9%–15.9% and pump electricity by 70%–93%.,Buildings & Refrigerants & Fugitive Emissions,Measured hotel cases: 9.9%–15.9% lower DHW thermal energy; 70%–93% lower recirculation-pump electricity; no reduction in hot-water use,Measured hotel cases: 9.9%–15.9% lower DHW thermal energy; 70%–93% lower recirculation-pump electricity; no reduction in hot-water use,,9.9,,15.9,Range taken from the published display string. Value_Base left blank (no midpoint invented).,,percent,,Measured hotel cases: % lower DHW thermal energy; % lower recirculation pump electricity; no reduction in hot water use,,published_display,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0063,1,"Hotel 1: 986 ÷ 9,965 = 9.9% thermal; 2,575 ÷ 3,679 = 70.0% pump electricity
Hotel 2: 1,304 ÷ 8,211 = 15.9% thermal; 627 ÷ 675 = 92.9% pump electricity
Daily hot-water use remained 3,210 and 1,822 gallons respectively.",Controlling hot-water circulation reduced DHW thermal energy by 9.9%–15.9% and pump electricity by 70%–93%.,"Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0009,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,10
CEF-0010,CARD-0040,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours — Efficiency",efficiency,Energy & Buildings,Efficiency Factors,,Efficiency,,"Installing timers and automated shutdown controls reduced plug loads by 48% on average, including 26% at workstations and nearly 50% in kitchens and printer rooms.",Buildings & Refrigerants & Fugitive Emissions,48% average plug-load reduction; 26% at workstations; nearly 50% in kitchens/printer rooms,48% average plug-load reduction; 26% at workstations; nearly 50% in kitchens/printer rooms,,,48,,Single published figure stored as Value_Base.,,percent,printer,% average plug load reduction; % at workstations; nearly % in kitchens/printer rooms,,published_display,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Safety-critical, food-safety, refrigeration, life-safety or continuously required loads.",,,,CEVID-0069,1,Measured schedule-timer savings across eight GSA office buildings,"Installing timers and automated shutdown controls reduced plug loads by 48% on average, including 26% at workstations and nearly 50% in kitchens and printer rooms.","Safety-critical, food-safety, refrigeration, life-safety or continuously required loads.",SG-INIT-0010,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,11
