Initiative_ID,Initiative_Name,Topic,Sub_Topic,Description,Why_Benefit,How_Text,KPI,Sector_Included,Sector_Not_Included,Source_Old_Initiative,Value_Card_Slots,Has_Case,Source_Workbook,Source_Sheet,Source_Row
INIT-0001,Adopt a net-zero buildings plan,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Set the portfolio baseline, target pathway, technology sequence, governance, budget envelope and review cadence for buildings. This is a portfolio plan, not a substitute for individual measures.","Hospitality estates are energy-intensive, operate long hours and renew assets in recurring cycles. A costed portfolio plan sequences measures around refurbishments and replacements, reduces stranded capex and gives operators a credible path for investors, clients and customers.","1) Define ownership/lease boundary. 2) Baseline energy, refrigerants and capex cycles. 3) Model measure bundles and dependencies. 4) Approve annual portfolio roadmap. 5) Refresh with measured performance.","% of controlled floor area covered by an approved, costed pathway; % of annual pathway actions delivered on time; forecast portfolio tCO2e variance to pathway","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",Adopt a net-zero buildings plan,4,YES,Consolidate.xlsx,工作表1,2
INIT-0002,Measure and verify building energy performance,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Establish adjusted baselines and compare post-implementation energy, cost and carbon performance with forecast outcomes. Meter installation and BEMS control remain separate initiatives.","Thin margins and changing occupancy, trading hours and weather can make projected savings difficult to trust. Normalised measurement verifies which projects actually reduce bills and carbon, strengthens future investment cases and protects supplier performance guarantees.",Define baseline period and adjustment variables; record meter boundaries; verify installation; compare like-for-like post-period data; investigate variance; lock the approved result and evidence trail.,"% of completed measures with an approved baseline and 12-month verification; verified annual kWh, £ and tCO2e saving; forecast-to-realised saving variance (%)","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Exclude sites without sufficient interval or billing data until a baseline can be established.,,4,YES,Consolidate.xlsx,工作表1,3
INIT-0003,Optimise and upgrade HVAC systems and controls,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Follow a repair-before-replace pathway: recommission sensors, valves, actuators, setpoints and sequencing to restore intended HVAC performance; replace chillers, air-handling units or packaged plant only where equipment is end-of-life, unreliable, incorrectly sized or materially less efficient than suitable modern alternatives.","A staged HVAC approach protects guest comfort and operational continuity while avoiding premature capital replacement. Recommissioning removes control-related waste at relatively low cost, while planned replacement of inefficient or unreliable plant can reduce energy exposure, emergency capex and service disruption.","Survey plant, controls, loads and fault history; correct sensor, valve and sequencing faults first; compare continued repair, recommissioning and replacement; right-size and procure efficient plant where justified; commission and verify comfort, ventilation and energy performance.","% of eligible HVAC capacity recommissioned or upgraded; seasonal plant efficiency (COP, SCOP or boiler efficiency); weather-adjusted HVAC kWh and tCO2e saved; comfort complaints or hours outside setpoint","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",Install energy efficient HVAC systems,4,YES,Consolidate.xlsx,工作表1,4
INIT-0004,Install smart draught beverage dispense systems,Energy & Buildings,Energy Management,"Replace standard draught lines with a closed, continuously cooled keg-to-tap system combining insulated product lines, secondary gas control, foam management, efficient cooling and scheduled professional cleaning. The system maintains consistent beer and cider temperature, reduces fobbing and extends line-cleaning intervals from weekly to every 6–12 weeks.","Beer, water, dispense gas and cleaning chemicals are lost during line cleaning, while temperature hot spots increase foam, waste and inconsistent serves. Smart dispense systems reduce these losses, release staff time, improve saleable yield and protect drink quality and repeat sales.","Measure draught volume, taps, cleaning frequency, wastage and cellar energy; select a cellar-, bar- or underbar system; survey line routes and cooling; install insulated cooled lines, controls and compatible dispense equipment; train staff on keg changes, hygiene and perfect-pour routines; move to supplier-managed 6- or 12-week cleaning; track yield, water, energy, quality and sales.",Saleable draught yield (% of keg volume); cleaning loss (pints/tap/year) and cleaning labour (hours/tap/year); cellar cooling kWh/tap; sales £/tap and dispense-quality complaints,"Pubs, bars and breweries; restaurants, hotels, experiential leisure and contract caterers operating draught beer or cider","Sites without draught beer or cider service, including most QSR; concession sites without control of dispense equipment",Implement Smart Dispense Systems,4,YES,Consolidate.xlsx,工作表1,5
INIT-0005,Install timer controls across eligible equipment,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Use plug-in timers, fused-spur timers, run-back timers, time clocks or BMS schedules to match equipment operation to trading hours and real demand. Suitable applications include domestic hot water, space heating, kitchen extraction, cellar remote coolers, pool and whirlpool blowers or pumps, exterior and back-of-house lighting, dishwashers, glasswashers, cutlery polishers, coffee machines, vending and other ancillary plug loads. Controls should retain required pre-heat, post-run and manual-boost periods.","A low-cost control measure that removes out-of-hours energy use without replacing serviceable equipment. It can reduce utility bills and emissions quickly, standardise opening and closing routines across sites, and provide a scalable first step before higher-capex equipment upgrades.","Inventory equipment and operating hours; identify avoidable out-of-hours runtime; classify critical and timer-eligible loads; select controls with the correct load rating and switching arrangement; pilot schedules against service needs; retain pre-heat, post-run and manual override; verify food temperatures, hot-water hygiene, ventilation and guest comfort; monitor overrides and roll out successful settings across the estate.",% of eligible equipment under automatic time control; out-of-hours runtime and kWh by equipment category; annual £ and tCO2e saving; override or exception rate,"Restaurants; QSR; pubs, bars and breweries; contract caterers with control of site equipment; hotels; experiential leisure","Life-safety, security and IT systems; food-storage refrigeration compressors without validated smart controls; 24/7 guest-critical loads; equipment without a safe shutdown sequence or asset-control rights","Install timer controls on domestic hot-water boilers; Roll out equipment timers across boilers, refrigeration and kitchen equipment",4,YES,Consolidate.xlsx,工作表1,6
INIT-0006,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Fit high-efficiency motors and variable-speed drives to eligible fans and pumps, and add temperature, optical, air-quality or flow sensing where commercial kitchen extract and make-up air should follow cooking demand. This is a component and controls measure, not whole-HVAC replacement.","Fans, pumps and kitchen extract often run at peak output despite variable hospitality demand. Matching motor and ventilation output to actual load reduces electricity, mechanical wear, noise and conditioned-air losses without compromising ventilation, circulation, food safety or customer comfort.","Profile fan and pump load and run hours; identify throttle/damper control and kitchen demand patterns; verify motor, hood and fire-safety compatibility; install VSDs, efficient motors and sensors; balance extract/make-up air and tune minimum speeds; commission across operating modes; verify kWh and service performance.",% of eligible variable-load motor kW under VSD or efficient-motor control; % of eligible kitchens with demand-controlled ventilation; fan and pump kWh per operating hour; annual kWh and tCO2e saved,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure; kitchen demand controls apply only where commercial kitchens and relevant asset/control rights exist","Fixed-speed or process-critical loads where compatibility, duty profile or run hours do not support variable control; sites without commercial kitchens for DCKV; sites where the operator cannot modify ventilation or motor controls.",Use intelligent kitchen extract systems,4,YES,Consolidate.xlsx,工作表1,7
INIT-0007,"Recover and reuse waste heat from refrigeration, cooking or wastewater",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Capture useful heat from process refrigeration, cooking or wastewater and transfer it to a coincident hot-water or space-heating load. Ventilation heat recovery is excluded.","Hospitality sites frequently reject heat from refrigeration, cooking or wastewater while simultaneously buying energy for hot water or space heating. Recovering this heat lowers boiler or electric demand, reduces plant stress and improves the value of existing equipment.",Map heat sources and temperature; map coincident heat sinks; model seasonal match; design heat exchanger/storage; protect hygiene; meter heat delivered and displaced fuel.,Recovered heat delivered (kWhth/year); useful-heat utilisation (% of available recovered heat); displaced gas or electricity kWh and £; tCO2e avoided,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Sites without a stable heat source and coincident heat demand, or without asset/pipework control.",Recover and reuse commercial heat,4,YES,Consolidate.xlsx,工作表1,8
INIT-0008,Upgrade boiler burner controls and balance heat-distribution systems,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Improve retained boiler performance through burner/combustion controls, turndown, hydraulic balancing, pipe insulation and maintenance. Excludes boiler replacement and generic HVAC scheduling.",Retained gas boilers commonly cycle and operate inefficiently at part load. Better burner control and balanced distribution reduce fuel waste and breakdown risk while extracting more value from assets that are not yet due for replacement.,Complete combustion and distribution survey; measure excess air/cycling; balance circuits; upgrade compatible controls; insulate exposed distribution; recommission and verify gas use.,"Combustion efficiency (%); boiler starts or cycles per operating hour; heat-distribution temperature or balance variance; weather-adjusted gas kWh, £ and tCO2e saved","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",Use gas boiler additives,4,YES,Consolidate.xlsx,工作表1,9
INIT-0009,"Upgrade domestic hot-water generation, storage and circulation controls",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Reduce hot-water energy through efficient generation, insulated storage/pipework, demand-based circulation and appropriate temperature control. Space heating and cooking are excluded.","Hotels, leisure venues and catering operations use large volumes of hot water and can lose energy through storage and continuous circulation. Better generation and circulation control reduce fuel and pump costs while protecting hygiene and hot-water availability.",Meter or estimate hot-water load; inspect storage and distribution; address leaks/insulation; optimise circulation; select efficient replacement plant; verify hygiene temperatures and energy.,"Hot-water energy intensity (kWh/guest-night, cover or litre delivered); storage and circulation loss (%); circulation-pump runtime or kWh; annual £ and tCO2e saved","Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,4,YES,Consolidate.xlsx,工作表1,10
INIT-0010,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,"Use timers, smart relays or programmable controls to switch eligible small-power and operational equipment off when not needed. Lighting and HVAC controls are excluded.","Kitchen, bar, office and guest-service equipment is often left running after trading. Automated shutdown reduces persistent baseload across many low-cost control points, improves site margins and makes closing procedures more consistent.",Profile half-hourly baseload; identify safe controllable loads; define schedules and overrides; install controls; train staff; verify out-of-hours demand reduction.,% of eligible loads under automated shutdown; out-of-hours baseload kW and kWh; annual £ and tCO2e saving; manual override or exception rate,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Safety-critical, food-safety, refrigeration, life-safety or continuously required loads.",Install equipment timers,4,YES,Consolidate.xlsx,工作表1,11
