Gap_ID,Initiative_ID,Initiative_Name,Factor_ID,Card_ID,Topic,Sub_Topic,Gap_Type,Calculation_Readiness,Gap_Status,Gap_Note
GAP-0001,INIT-0001,Adopt a net-zero buildings plan,CCF-0001,CARD-0001,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0002,INIT-0001,Adopt a net-zero buildings plan,CCF-0001,CARD-0001,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0003,INIT-0001,Adopt a net-zero buildings plan,CCF-0001,CARD-0001,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0004,INIT-0001,Adopt a net-zero buildings plan,CPF-0001,CARD-0002,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0005,INIT-0001,Adopt a net-zero buildings plan,CPF-0001,CARD-0002,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0006,INIT-0001,Adopt a net-zero buildings plan,CPF-0001,CARD-0002,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0007,INIT-0001,Adopt a net-zero buildings plan,CTF-0001,CARD-0003,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0008,INIT-0001,Adopt a net-zero buildings plan,CTF-0001,CARD-0003,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0009,INIT-0001,Adopt a net-zero buildings plan,CTF-0001,CARD-0003,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0010,INIT-0001,Adopt a net-zero buildings plan,CEF-0001,CARD-0004,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0011,INIT-0001,Adopt a net-zero buildings plan,CEF-0001,CARD-0004,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0012,INIT-0001,Adopt a net-zero buildings plan,CEF-0001,CARD-0004,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0013,INIT-0011,"Implement power management for small-power, IT and server-room equipment",CCF-0011,CARD-0041,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0014,INIT-0011,"Implement power management for small-power, IT and server-room equipment",CCF-0011,CARD-0041,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0015,INIT-0011,"Implement power management for small-power, IT and server-room equipment",CCF-0011,CARD-0041,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0016,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CCF-0016,CARD-0061,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0017,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CCF-0016,CARD-0061,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0018,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CCF-0016,CARD-0061,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0019,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CPF-0016,CARD-0062,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0020,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CPF-0016,CARD-0062,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0021,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CPF-0016,CARD-0062,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0022,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CTF-0016,CARD-0063,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0023,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CTF-0016,CARD-0063,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0024,INIT-0016,Maintain a governed refrigerant inventory and leakage record,CTF-0016,CARD-0063,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0025,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,CCF-0019,CARD-0073,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0026,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,CCF-0019,CARD-0073,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0027,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,CCF-0019,CARD-0073,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0028,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,CTF-0019,CARD-0075,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0029,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,CTF-0019,CARD-0075,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0030,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,CTF-0019,CARD-0075,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0031,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CCF-0021,CARD-0081,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0032,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CCF-0021,CARD-0081,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0033,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CCF-0021,CARD-0081,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0034,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CPF-0021,CARD-0082,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0035,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CPF-0021,CARD-0082,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0036,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CPF-0021,CARD-0082,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0037,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CTF-0021,CARD-0083,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0038,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CTF-0021,CARD-0083,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0039,INIT-0021,Conduct whole-life carbon assessments for major capital projects,CTF-0021,CARD-0083,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0040,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CCF-0022,CARD-0085,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0041,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CCF-0022,CARD-0085,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0042,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CCF-0022,CARD-0085,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0043,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CPF-0022,CARD-0086,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0044,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CPF-0022,CARD-0086,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0045,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CPF-0022,CARD-0086,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0046,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CTF-0022,CARD-0087,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0047,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CTF-0022,CARD-0087,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0048,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CTF-0022,CARD-0087,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0049,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CEF-0022,CARD-0088,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0050,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CEF-0022,CARD-0088,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0051,INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,CEF-0022,CARD-0088,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0052,INIT-0023,Apply carbon criteria at capital-project investment and design gates,CCF-0023,CARD-0089,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0053,INIT-0023,Apply carbon criteria at capital-project investment and design gates,CCF-0023,CARD-0089,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0054,INIT-0023,Apply carbon criteria at capital-project investment and design gates,CCF-0023,CARD-0089,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0055,INIT-0023,Apply carbon criteria at capital-project investment and design gates,CPF-0023,CARD-0090,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0056,INIT-0023,Apply carbon criteria at capital-project investment and design gates,CPF-0023,CARD-0090,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0057,INIT-0023,Apply carbon criteria at capital-project investment and design gates,CPF-0023,CARD-0090,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0058,INIT-0023,Apply carbon criteria at capital-project investment and design gates,CTF-0023,CARD-0091,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0059,INIT-0023,Apply carbon criteria at capital-project investment and design gates,CTF-0023,CARD-0091,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0060,INIT-0023,Apply carbon criteria at capital-project investment and design gates,CTF-0023,CARD-0091,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0061,INIT-0024,Require EPDs or product-specific carbon data for priority materials and equipment,CCF-0024,CARD-0093,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0062,INIT-0024,Require EPDs or product-specific carbon data for priority materials and equipment,CCF-0024,CARD-0093,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0063,INIT-0024,Require EPDs or product-specific carbon data for priority materials and equipment,CCF-0024,CARD-0093,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0064,INIT-0024,Require EPDs or product-specific carbon data for priority materials and equipment,CTF-0024,CARD-0095,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0065,INIT-0024,Require EPDs or product-specific carbon data for priority materials and equipment,CTF-0024,CARD-0095,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0066,INIT-0024,Require EPDs or product-specific carbon data for priority materials and equipment,CTF-0024,CARD-0095,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0067,INIT-0025,"Prioritise refurbishment, reuse and adaptation before new construction",CCF-0025,CARD-0097,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0068,INIT-0026,Require component reuse and material recovery in building and fit-out projects,CCF-0026,CARD-0101,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0069,INIT-0029,"Design buildings and fit-outs for adaptability, disassembly and material recovery",CCF-0029,CARD-0113,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0070,INIT-0029,"Design buildings and fit-outs for adaptability, disassembly and material recovery",CCF-0029,CARD-0113,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0071,INIT-0029,"Design buildings and fit-outs for adaptability, disassembly and material recovery",CCF-0029,CARD-0113,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0072,INIT-0029,"Design buildings and fit-outs for adaptability, disassembly and material recovery",CPF-0029,CARD-0114,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0073,INIT-0030,Commission new buildings and major refurbishments against designed operational performance,CCF-0030,CARD-0117,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0074,INIT-0030,Commission new buildings and major refurbishments against designed operational performance,CCF-0030,CARD-0117,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0075,INIT-0030,Commission new buildings and major refurbishments against designed operational performance,CCF-0030,CARD-0117,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0076,INIT-0030,Commission new buildings and major refurbishments against designed operational performance,CPF-0030,CARD-0118,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0077,INIT-0030,Commission new buildings and major refurbishments against designed operational performance,CPF-0030,CARD-0118,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0078,INIT-0030,Commission new buildings and major refurbishments against designed operational performance,CPF-0030,CARD-0118,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0079,INIT-0031,Apply verified energy-efficiency criteria when replacing kitchen equipment,CPF-0031,CARD-0122,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0080,INIT-0031,Apply verified energy-efficiency criteria when replacing kitchen equipment,CPF-0031,CARD-0122,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0081,INIT-0031,Apply verified energy-efficiency criteria when replacing kitchen equipment,CPF-0031,CARD-0122,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
GAP-0082,INIT-0031,Apply verified energy-efficiency criteria when replacing kitchen equipment,CTF-0031,CARD-0123,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_DISPLAY_VALUE,DISPLAY_ONLY,OPEN,Consolidate value cell is empty. Left empty on purpose.
GAP-0083,INIT-0031,Apply verified energy-efficiency criteria when replacing kitchen equipment,CTF-0031,CARD-0123,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_CALCULATION_METHOD,DISPLAY_ONLY,OPEN,No calculation / evidence-logic text in Consolidate.
GAP-0084,INIT-0031,Apply verified energy-efficiency criteria when replacing kitchen equipment,CTF-0031,CARD-0123,Energy & Buildings,Capital Goods (sub group supply chain),MISSING_EVIDENCE,DISPLAY_ONLY,OPEN,No source URL in the card evidence-link cell.
