Factor_ID,Card_ID,Factor_Name,Factor_Type,Factor_Family,Factor_Bank,Cost_Category,Outcome_Category,Cost_Boundary,Performance_Boundary,Technology_or_Scope,Published_Display_Value,Primary_Figure,Parallel_Figures,Value_Low,Value_Base,Value_High,Value_Parse_Note,Currency,Numerator_Unit,Denominator_Unit,Unit_Hint,Frequency,Performance_Basis,Time_Basis,Geography,Sector,Sector_Not_Included,Price_Year,Reference_Year,VAT_Basis,Primary_Evidence_ID,Evidence_Link_Count,Derivation_Method,Interface_Language,Applicability_Caveat,Selection_Group_ID,Selection_Rule,Scenario_Availability,Calc_Readiness,Factor_Status,Lifecycle_Status,Access_Classification,Factor_Availability,Version,Last_Reviewed,Source_Workbook,Source_Sheet,Source_Row
CPF-0001,CARD-0002,Adopt a net-zero buildings plan — Carbon abatement,carbon,Energy & Buildings,Carbon Factors,,Carbon abatement,,Projects approved through the net-zero building plan are measured in verified downstream tCO₂e per site per year.,Buildings & Refrigerants & Fugitive Emissions,,,,,,,Empty published value; numeric columns left blank.,,,,,,published_display,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,,0,,Projects approved through the net-zero building plan are measured in verified downstream tCO₂e per site per year.,"Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0001,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,GAP,1.0,2026-08-18,Consolidate.xlsx,工作表1,2
CPF-0002,CARD-0006,Measure and verify building energy performance — Carbon abatement,carbon,Energy & Buildings,Carbon Factors,,Carbon abatement,,"Each verified electricity kWh saved through M&V represents 0.13096 kgCO₂e, while each verified gas kWh saved represents 0.18231 kgCO₂e.",Buildings & Refrigerants & Fugitive Emissions,0.13096 kgCO2e per verified electricity kWh saved; 0.18231 kgCO2e per verified gas kWh saved,0.13096 kgCO2e per verified electricity kWh saved; 0.18231 kgCO2e per verified gas kWh saved,,,0.13096,,Single published figure stored as Value_Base.,,mass_or_carbon,,kgCOe per verified electricity kWh saved; kgCOe per verified gas kWh saved,,published_display,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Exclude sites without sufficient interval or billing data until a baseline can be established.,,,,CEVID-0002,1,"Verified annual tCO2e saving = (verified electricity kWh saved × 0.13096 + verified gas kWh saved × 0.18231) ÷ 1,000","Each verified electricity kWh saved through M&V represents 0.13096 kgCO₂e, while each verified gas kWh saved represents 0.18231 kgCO₂e.",Exclude sites without sufficient interval or billing data until a baseline can be established.,SG-INIT-0002,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,3
CPF-0003,CARD-0010,Optimise and upgrade HVAC systems and controls — Carbon abatement,carbon,Energy & Buildings,Carbon Factors,,Carbon abatement,,"Recommissioning HVAC controls can reduce whole-building energy use by 3.4%–12.4%, with a 6.4% median; benchmark chiller and AHU upgrades can reduce component electricity by 18.2% and 11.5% respectively.",Buildings & Refrigerants & Fugitive Emissions,"Recommissioning: 3.4%–12.4% whole-building source-energy saving; median 6.4%
Chiller: theoretical 18.2% lower input electricity at equal cooling output; 0.02381 kgCO2e avoided per baseline electricity kWh
AHU: theoretical 11.5% lower fan electricity at equal airflow and runtime; 0.01511 kgCO2e avoided per baseline electricity kWh
Packaged HVAC: site-specific electricity and carbon reduction based on verified seasonal efficiency improvement",Recommissioning: 3.4%–12.4% whole-building source-energy saving; median 6.4%,Chiller: theoretical 18.2% lower input electricity at equal cooling output; 0.02381 kgCO2e avoided per baseline electricity kWh | AHU: theoretical 11.5% lower fan electricity at equal airflow and runtime; 0.01511 kgCO2e avoided per baseline electricity kWh | Packaged HVAC: site-specific electricity and carbon reduction based on verified seasonal efficiency improvement,3.4,,12.4,Range taken from the published display string. Value_Base left blank (no midpoint invented).,,percent,,Recommissioning: % whole building source energy saving; median % Chiller: theoretical % lower input electricity at equal cooling output; kgCOe avoided per baseline electricity kWh AHU: theoretical % lower fan electricity at equal airflow and runtime; kgCOe avoided per baseline electricity kWh Packaged HVAC: site specific electricity and carbon reduction based on verified seasonal efficiency improvement,,published_display,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0006,3,"Recommissioning energy saving = baseline source energy × 3.4%–12.4% (median 6.4%); annual tCO2e saving = (verified electricity kWh saved × 0.13096 + verified gas kWh saved × 0.18231) ÷ 1,000
Chiller at equal cooling output: 1−(3.6÷4.4)=18.2%; 18.2%×0.13096=0.02381 kgCO2e/kWh
AHU at equal airflow and runtime: (2.6−2.3)÷2.6=11.5%; 11.5%×0.13096=0.01511 kgCO2e/kWh","Recommissioning HVAC controls can reduce whole-building energy use by 3.4%–12.4%, with a 6.4% median; benchmark chiller and AHU upgrades can reduce component electricity by 18.2% and 11.5% respectively.","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0003,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,4
CPF-0004,CARD-0014,Install smart draught beverage dispense systems — Carbon abatement,carbon,Energy & Buildings,Carbon Factors,,Carbon abatement,,"Adding Cellar Manager and Remote Manager can avoid 6,971 kWh and 1.43 tCO2e per venue each year.",Energy Management,"Cellar Manager: 5,221 kWh and 1.11 tCO2e/year; Remote Manager: 1,750 kWh and 0.32 tCO2e/year; combined: 6,971 kWh and 1.43 tCO2e/year","Cellar Manager: 5,221 kWh and 1.11 tCO2e/year; Remote Manager: 1,750 kWh and 0.32 tCO2e/year; combined: 6,971 kWh and 1.43 tCO2e/year",,,5221,,Single published figure stored as Value_Base.,,mass_or_carbon,year,Cellar Manager: kWh and tCOe/year; Remote Manager: kWh and tCOe/year; combined: kWh and tCOe/year,annual,published_display,annual,,"Pubs, bars and breweries; restaurants, hotels, experiential leisure and contract caterers operating draught beer or cider","Sites without draught beer or cider service, including most QSR; concession sites without control of dispense equipment",,,,CEVID-0018,2,"The combined benchmark adds the two HEINEKEN control examples: 5,221 + 1,750 = 6,971 kWh/year and 1.11 + 0.32 = 1.43 tCO2e/year. This covers cooling-control electricity only; avoided beer, water, dispense gas and cleaning chemicals are additional but are not converted to carbon because the cited sources do not provide product-specific factors.","Adding Cellar Manager and Remote Manager can avoid 6,971 kWh and 1.43 tCO2e per venue each year.","Sites without draught beer or cider service, including most QSR; concession sites without control of dispense equipment",SG-INIT-0004,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,5
CPF-0005,CARD-0018,Install timer controls across eligible equipment — Carbon abatement,carbon,Energy & Buildings,Carbon Factors,,Carbon abatement,,"Switching off an unnecessary 1 kW load for 8 hours a day avoids 2,920 kWh and 0.382 tCO2e a year for electricity, or 0.532 tCO2e a year for natural gas.",Buildings & Refrigerants & Fugitive Emissions,"Normalised electric load: 1 kW switched off for 8 hours/day = 2,920 kWh/year and 0.382 tCO2e/year; normalised gas input: 2,920 kWh/year = 0.532 tCO2e/year; The Folly hot-water timer benchmark: 683 kWh and approximately 0.125 tCO2e/year; hotel whirlpool-blower benchmark: 11,000 kWh and approximately 1.441 tCO2e/year","Normalised electric load: 1 kW switched off for 8 hours/day = 2,920 kWh/year and 0.382 tCO2e/year; normalised gas input: 2,920 kWh/year = 0.532 tCO2e/year; The Folly hot-water timer benchmark: 683 kWh and approximately 0.125 tCO2e/year; hotel whirlpool-blower benchmark: 11,000 kWh and approximately 1.441 tCO2e/year",,,1,,Single published figure stored as Value_Base.,,mass_or_carbon,day,Normalised electric load: kW switched off for hours/day = kWh/year and tCOe/year; normalised gas input: kWh/year = tCOe/year; The Folly hot water timer benchmark: kWh and approximately tCOe/year; hotel whirlpool blower benchmark: kWh and approximately tCOe/year,annual,published_display,annual,,"Restaurants; QSR; pubs, bars and breweries; contract caterers with control of site equipment; hotels; experiential leisure","Life-safety, security and IT systems; food-storage refrigeration compressors without validated smart controls; 24/7 guest-critical loads; equipment without a safe shutdown sequence or asset-control rights",,,,CEVID-0027,3,"Electricity: 1 kW × 8 hours/day × 365 days = 2,920 kWh/year; 2,920 × 0.13096 kgCO2e/kWh ÷ 1,000 = 0.382 tCO2e/year. Natural gas: 2,920 × 0.18231 kgCO2e/kWh ÷ 1,000 = 0.532 tCO2e/year. The Folly and hotel figures use their reported annual energy reductions; converted carbon values use the same UK factors. Actual savings depend on measured load, duty cycle and avoidable runtime.","Switching off an unnecessary 1 kW load for 8 hours a day avoids 2,920 kWh and 0.382 tCO2e a year for electricity, or 0.532 tCO2e a year for natural gas.","Life-safety, security and IT systems; food-storage refrigeration compressors without validated smart controls; 24/7 guest-critical loads; equipment without a safe shutdown sequence or asset-control rights",SG-INIT-0005,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,6
CPF-0006,CARD-0022,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls — Carbon abatement",carbon,Energy & Buildings,Carbon Factors,,Carbon abatement,,Installing VSDs avoided 5.176 tCO₂e/year in the pump case; demand-controlled kitchen ventilation avoided 4.736 tCO₂e/site-year at the 2026 UK electricity factor; high-efficiency motors avoid 0.00262–0.00655 kgCO₂e per baseline motor kWh.,Buildings & Refrigerants & Fugitive Emissions,"VSD building-pump case: 5.176 tCO2e/year at the 2026 UK grid factor
DCKV pub case: 4.736 tCO2e/site-year at the 2026 UK grid factor
High-efficiency motor: 0.00262–0.00655 kgCO2e avoided per baseline motor kWh",VSD building-pump case: 5.176 tCO2e/year at the 2026 UK grid factor,DCKV pub case: 4.736 tCO2e/site-year at the 2026 UK grid factor | High-efficiency motor: 0.00262–0.00655 kgCO2e avoided per baseline motor kWh,0.00262,,0.00655,Range taken from the published display string. Value_Base left blank (no midpoint invented).,,mass_or_carbon,year,VSD building pump case: tCOe/year at the UK grid factor DCKV pub case: tCOe/site year at the UK grid factor High efficiency motor: kgCOe avoided per baseline motor kWh,annual,published_display,annual,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure; kitchen demand controls apply only where commercial kitchens and relevant asset/control rights exist","Fixed-speed or process-critical loads where compatibility, duty profile or run hours do not support variable control; sites without commercial kitchens for DCKV; sites where the operator cannot modify ventilation or motor controls.",,,,CEVID-0036,4,"VSD case: 39,523 kWh/year × 0.13096 ÷ 1,000 = 5.176 tCO2e/year
DCKV case: 36,167 kWh/year × 0.13096 ÷ 1,000 = 4.736 tCO2e/year
High-efficiency motor: 2%–5% × 0.13096 = 0.00262–0.00655 kgCO2e/baseline kWh",Installing VSDs avoided 5.176 tCO₂e/year in the pump case; demand-controlled kitchen ventilation avoided 4.736 tCO₂e/site-year at the 2026 UK electricity factor; high-efficiency motors avoid 0.00262–0.00655 kgCO₂e per baseline motor kWh.,"Fixed-speed or process-critical loads where compatibility, duty profile or run hours do not support variable control; sites without commercial kitchens for DCKV; sites where the operator cannot modify ventilation or motor controls.",SG-INIT-0006,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,7
CPF-0007,CARD-0026,"Recover and reuse waste heat from refrigeration, cooking or wastewater — Carbon abatement",carbon,Energy & Buildings,Carbon Factors,,Carbon abatement,,Recovering useful heat can avoid 0.2145 kgCO₂e per recovered kWhth and 202.3 tCO₂e/year in the 943 MWhth refrigeration case.,Buildings & Refrigerants & Fugitive Emissions,0.2145 kgCO2e avoided per useful recovered kWhth displacing an 85%-efficient gas boiler; 202.3 tCO2e/year for the 943 MWhth refrigeration case at the 2026 UK gas factor,0.2145 kgCO2e avoided per useful recovered kWhth displacing an 85%-efficient gas boiler; 202.3 tCO2e/year for the 943 MWhth refrigeration case at the 2026 UK gas factor,,,0.2145,,Single published figure stored as Value_Base.,,percent,year,kgCOe avoided per useful recovered kWhth displacing an % efficient gas boiler; tCOe/year for the MWhth refrigeration case at the UK gas factor,annual,published_display,annual,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Sites without a stable heat source and coincident heat demand, or without asset/pipework control.",,,,CEVID-0046,2,"Displaced gas = useful recovered heat ÷ boiler efficiency
Case = 943,000 kWhth ÷ 85% = 1,109,412 kWh gas; 1,109,412 × 0.18231 ÷ 1,000 = 202.3 tCO2e/year",Recovering useful heat can avoid 0.2145 kgCO₂e per recovered kWhth and 202.3 tCO₂e/year in the 943 MWhth refrigeration case.,"Sites without a stable heat source and coincident heat demand, or without asset/pipework control.",SG-INIT-0007,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,8
CPF-0008,CARD-0030,Upgrade boiler burner controls and balance heat-distribution systems — Carbon abatement,carbon,Energy & Buildings,Carbon Factors,,Carbon abatement,,Upgrading boiler burner controls and balancing heat distribution reduced emissions by 180 tCO2/year in the Leadenhall case.,Buildings & Refrigerants & Fugitive Emissions,180 tCO2/year reduction (Leadenhall case),180 tCO2/year reduction (Leadenhall case),,,180,,Single published figure stored as Value_Base.,,mass_or_carbon,year,tCO/year reduction (Leadenhall case),annual,published_display,annual,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0054,1,Reported annual reduction = 180 tCO2/year,Upgrading boiler burner controls and balancing heat distribution reduced emissions by 180 tCO2/year in the Leadenhall case.,"Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0008,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,9
CPF-0009,CARD-0034,"Upgrade domestic hot-water generation, storage and circulation controls — Carbon abatement",carbon,Energy & Buildings,Carbon Factors,,Carbon abatement,,Installing demand-based hot-water circulation controls is quantified using 5.61–7.05 tCO2e/hotel-year for the two fully measured hotel cases at 2026 UK factors.,Buildings & Refrigerants & Fugitive Emissions,5.61–7.05 tCO2e/hotel-year for the two fully measured hotel cases at 2026 UK factors,5.61–7.05 tCO2e/hotel-year for the two fully measured hotel cases at 2026 UK factors,,5.61,,7.05,Range taken from the published display string. Value_Base left blank (no midpoint invented).,,mass_or_carbon,hotel,tCOe/hotel year for the two fully measured hotel cases at UK factors,,published_display,year,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0059,3,"Hotel 1: (986 therm × 29.3071 kWh/therm × 0.18231 + 2,575 kWh × 0.13096) ÷ 1,000 = 5.61 tCO2e/year
Hotel 2: (1,304 therm × 29.3071 × 0.18231 + 627 kWh × 0.13096) ÷ 1,000 = 7.05 tCO2e/year",Installing demand-based hot-water circulation controls is quantified using 5.61–7.05 tCO2e/hotel-year for the two fully measured hotel cases at 2026 UK factors.,"Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0009,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,10
CPF-0010,CARD-0038,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours — Carbon abatement",carbon,Energy & Buildings,Carbon Factors,,Carbon abatement,,The measured carbon result from automated shutdown controls is 0.06286 kgCO2e per baseline kWh controlled.,Buildings & Refrigerants & Fugitive Emissions,0.06286 kgCO2e per baseline kWh controlled,0.06286 kgCO2e per baseline kWh controlled,,,0.06286,,Single published figure stored as Value_Base.,,mass_or_carbon,,kgCOe per baseline kWh controlled,,published_display,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Safety-critical, food-safety, refrigeration, life-safety or continuously required loads.",,,,CEVID-0066,2,48% × 0.13096 = 0.06286 kgCO2e/baseline kWh,The measured carbon result from automated shutdown controls is 0.06286 kgCO2e per baseline kWh controlled.,"Safety-critical, food-safety, refrigeration, life-safety or continuously required loads.",SG-INIT-0010,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,11
