Evidence_ID,Source_Title,Source_Organisation,Source_Type,Source_URL,Locator,Evidence_Strength,Evidence_Status,Geography,Publication_Date,Publication_Year,Metadata_Completeness_Status,Linked_Factor_Count,Version,Last_Reviewed,Source_Workbook
CEVID-0001,1.5% and 3.0%,energy.gov,PDF,https://www.energy.gov/sites/default/files/2024-10/mv_guide_5_0.pdf,"Section 5.2.2, printed p.43",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0002,0.13096,gov.uk,WEB_PAGE,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,"2026 full-set workbook, “UK electricity”!E25",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0003,9 and 12 months,energy.gov,PDF,https://www.energy.gov/sites/default/files/2024-10/mv_guide_5_0.pdf,"Section 4.4, printed p.25 (Option C)",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0004,£13.1275m and £447.6676m = source raw values (millions) 16.322699 and 556.629944 converted at 1.2434 source-currency units per £1. Source figures,energy.gov,PDF,https://www.energy.gov/sites/default/files/2024-12/2023_savings-espcs.pdf,"Section 3.4, printed p.14",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0005,conversion divisor 1.2434,bankofengland.co.uk,WEB_PAGE,https://www.bankofengland.co.uk/boeapps/database/fromshowcolumns.asp?SeriesCodes=XUAAUSS,2023 annual average,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0006,Recommissioning cost and 985-project sample,eta-publications.lbl.gov,PDF,https://eta-publications.lbl.gov/sites/default/files/crowe_-_building_commissioning_costs_and_savings_.pdf,"Table 8, printed p.14",,CURRENT,,,,INCOMPLETE,2,1.0,2026-08-18,Consolidate.xlsx
CEVID-0007,GBP conversion divisor 1.2888,bankofengland.co.uk,WEB_PAGE,https://www.bankofengland.co.uk/boeapps/database/fromshowcolumns.asp?SeriesCodes=XUAAUSS,2017 annual average Chiller and AHU benchmarks:,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0008,2017 annual average Chiller and AHU benchmarks,assets.publishing.service.gov.uk,PDF,https://assets.publishing.service.gov.uk/media/6006d75cd3bf7f0bf2e84d71/201209_Future_Buildings_Standard_consultation_IA.pdf,"Tables B.1 and B.3, printed pp.62–63 Packaged AHU estimate:",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0009,"Tables B.1 and B.3, printed pp.62–63 Packaged AHU estimate",broxbourne.gov.uk,WEB_PAGE,https://www.broxbourne.gov.uk/downloads/file/4588/the-spotlight-decarbonisation-study-1-0,"Table 28, printed p.41",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0010,printed p.10 Chiller SSEER 3.6 and 4.4 and AHU SFP 2.6 and 2.3 W/(l/s),assets.publishing.service.gov.uk,PDF,https://assets.publishing.service.gov.uk/media/6006d75cd3bf7f0bf2e84d71/201209_Future_Buildings_Standard_consultation_IA.pdf,"Table 5, printed p.28 and Table B.3, printed p.63 2026 factors 0.13096 kgCO2e/kWh electricity and 0.18231 kgCO2e/kWh natural gas:",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0011,"Table 5, printed p.28 and Table B.3, printed p.63 2026 factors 0.13096 kgCO2e/kWh electricity and 0.18231 kgCO2e/kWh natural gas",gov.uk,WEB_PAGE,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,full-set workbook “UK electricity”!E25 and “Fuels”!D42,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0012,Recommissioning payback and 656-project sample,eta-publications.lbl.gov,PDF,https://eta-publications.lbl.gov/sites/default/files/crowe_-_building_commissioning_costs_and_savings_.pdf,"Table 8, printed p.14 Chiller benchmark £10,000 incremental cost, £4,600/year saving, 400 kW and 2,000 operating hours/year:",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0013,"Table 8, printed p.14 Chiller benchmark £10,000 incremental cost, £4,600/year saving, 400 kW and 2,000 operating hours/year",assets.publishing.service.gov.uk,PDF,https://assets.publishing.service.gov.uk/media/65dc4e4e964ca8001cc6e8b8/TIL_-_Industrial_Refrigeration_-_April_2020.pdf,printed p.12,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0014,"£4,600 and 41,800 kWh/year also shown at",etl.energysecurity.gov.uk,WEB_PAGE,https://etl.energysecurity.gov.uk/products/refrigeration-equipment/industrial-refrigeration-equipment,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0015,Recommissioning 6.4% median,eta-publications.lbl.gov,PDF,https://eta-publications.lbl.gov/sites/default/files/crowe_-_building_commissioning_costs_and_savings_.pdf,"Table 8, printed p.14 Chiller SSEER 3.6 vs 4.4:",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0016,"Table 8, printed p.14 Chiller SSEER 3.6 vs 4.4",assets.publishing.service.gov.uk,PDF,https://assets.publishing.service.gov.uk/media/6006d75cd3bf7f0bf2e84d71/201209_Future_Buildings_Standard_consultation_IA.pdf,"Table 5, printed p.28 AHU SFP 2.6 vs 2.3 W/(l/s): same source | Table B.3, printed p.63",,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0017,"HEINEKEN SmartDispense Terms and Conditions 2025, Schedule 1 fees and Schedule 2 equipment values",smartdispense.heineken.co.uk,PDF,https://smartdispense.heineken.co.uk/wp-content/uploads/2025/05/SmartDispenseTermsAndConditions-2025-1.pdf,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0018,"HEINEKEN Cellar Manager, £31/month",smartdispense.heineken.co.uk,WEB_PAGE,https://smartdispense.heineken.co.uk/technology/cellar-systems/cellar-manager/,,,CURRENT,,,,INCOMPLETE,3,1.0,2026-08-18,Consolidate.xlsx
CEVID-0019,"HEINEKEN Remote Manager, £16/month",smartdispense.heineken.co.uk,WEB_PAGE,https://smartdispense.heineken.co.uk/technology/cellar-systems/remote-manager/,,,CURRENT,,,,INCOMPLETE,3,1.0,2026-08-18,Consolidate.xlsx
CEVID-0020,"HEINEKEN SmartDispense overview, current savings and sales benchmarks",eazle.co.uk,WEB_PAGE,https://www.eazle.co.uk/huk/en/SmartDispense,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0021,"HEINEKEN Save with SmartDispense, cleaning cycles and water savings",smartdispense.heineken.co.uk,WEB_PAGE,https://smartdispense.heineken.co.uk/save-with-smartdispense/,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0022,"HEINEKEN SmartDispense User Guide 2023, 85% waste reduction and 156 hours",smartdispense.heineken.co.uk,PDF,https://smartdispense.heineken.co.uk/wp-content/uploads/2023/04/1694-Heineken-SmartDispense-User-Guide-2023-v3.pdf,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0023,"Masterplug TES7, Screwfix, accessed 13 Aug 2026",screwfix.com,WEB_PAGE,https://www.screwfix.com/p/masterplug-tes7-digital-plug-in-plug-through-programmable-timer/50676,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0024,"Timeguard FST77N, LEDBulbs, accessed 13 Aug 2026",ledbulbs.co.uk,WEB_PAGE,https://www.ledbulbs.co.uk/products/timeguard-7-day-fused-spur-timeswitch-fst77n-1,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0025,"CentaurPlus two-channel programmer, Worcester Electrical, accessed 13 Aug 2026",worcesterelectrical.co.uk,WEB_PAGE,https://www.worcesterelectrical.co.uk/hvac/thermostats-%26-time-clocks/centaurplus-two-channel-7-day-programmer,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0026,"BN Thermic PROTIM7, accessed 13 Aug 2026",bnthermic.co.uk,WEB_PAGE,https://www.bnthermic.co.uk/products/controls/timers/programmable-timer/,,,CURRENT,,,,INCOMPLETE,1,1.0,2026-08-18,Consolidate.xlsx
CEVID-0027,"UK Government, Greenhouse gas reporting conversion factors 2026, Full set workbook, UK electricity!E25 and Fuels!D42",gov.uk,WEB_PAGE,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2026,,,CURRENT,,,,INCOMPLETE,5,1.0,2026-08-18,Consolidate.xlsx
CEVID-0028,The Folly Energy Saving Recommendations Report,oxfutures.org,PDF,https://oxfutures.org/wp-content/uploads/2020/12/The-Folly-Energy-Saving-Recommendations-Report-FINAL.pdf,,,CURRENT,,,,INCOMPLETE,2,1.0,2026-08-18,Consolidate.xlsx
