Case_Source_ID,Case_ID,Initiative_ID,Sort_Order,Label,Source_URL,Source_Host
CASE-0001-S01,CASE-0001,INIT-0001,1,Whitbread ESG Report,https://www.whitbread.co.uk/esg-report/,whitbread.co.uk
CASE-0001-S02,CASE-0001,INIT-0001,2,McDonald’s UK Net-Zero Restaurant,https://www.mcdonalds.com/gb/en-gb/newsroom/article/uk_net_zero_carbon.html,mcdonalds.com
CASE-0002-S01,CASE-0002,INIT-0002,1,Optimised Radisson Blu Case Study,https://www.optimised.net/services/case-studies/radisson-blu,optimised.net
CASE-0002-S02,CASE-0002,INIT-0002,2,Better Buildings Partnership York House Case,https://www.betterbuildingspartnership.co.uk/sites/default/files/media/attachment/BBP%20Green%20Building%20Managment%20Toolkit.pdf,betterbuildingspartnership.co.uk
CASE-0003-S01,CASE-0003,INIT-0003,1,Energy Technology List Coplow Centre Case,https://etl.energysecurity.gov.uk/news-events/news/evidence-efficiency-case-studies-real-world-impact-etl-listed-products,etl.energysecurity.gov.uk
CASE-0003-S02,CASE-0003,INIT-0003,2,Optimised Radisson Blu Case Study,https://www.optimised.net/services/case-studies/radisson-blu,optimised.net
CASE-0003-S03,CASE-0003,INIT-0003,3,"Soewono et al. (2023), Engineering and Applied Science Research",https://ph01.tci-thaijo.org/index.php/easr/article/view/252559,ph01.tci-thaijo.org
CASE-0003-S04,CASE-0003,INIT-0003,4,Trane Wendy’s HVAC Case Study,https://www.trane.com/commercial/north-america/us/en/about-us/newsroom/case-studies/retail/Wendys.html,trane.com
CASE-0004-S01,CASE-0004,INIT-0004,1,"Lisini Pub Co SmartDispense case, Scottish Licensed Trade News",https://sltn.co.uk/2026/06/03/heineken-smartdispense-is-making-a-difference-at-lisini/,sltn.co.uk
CASE-0004-S02,CASE-0004,INIT-0004,2,"Star Pubs and Bars SmartDispense case, Morning Advertiser",https://www.morningadvertiser.co.uk/Article/2015/05/28/Star-Pubs-and-Bars-sales-up-8-thanks-to-Smart-Dispense/,morningadvertiser.co.uk
CASE-0004-S03,CASE-0004,INIT-0004,3,Bluestone National Park Resort SmartDispense case,https://www.clubcricket.org.uk/news/heineken-celebrating-sustainable-operators-in-the-on-trade-copy,clubcricket.org.uk
CASE-0004-S04,CASE-0004,INIT-0004,4,Crucible Corner Carlsberg Quality Dispense System case,https://carlsbergid.co.uk/cqds,carlsbergid.co.uk
CASE-0005-S01,CASE-0005,INIT-0005,1,The Folly Energy Saving Recommendations Report,https://oxfutures.org/wp-content/uploads/2020/12/The-Folly-Energy-Saving-Recommendations-Report-FINAL.pdf,oxfutures.org
CASE-0005-S02,CASE-0005,INIT-0005,2,Hospitality Sector Council Energy Saving Guidance,https://hospitalitysectorcouncil.org/media/kjxbw0id/hospitality-sector-councilenergy-savingguidance.pdf,hospitalitysectorcouncil.org
CASE-0005-S03,CASE-0005,INIT-0005,3,Stonegate Pub Company and Technik2 Energy Solutions,https://www.stonegategroup.co.uk/press/stonegate-pub-company-in-partnership-with-technik2-energy-solutions/,stonegategroup.co.uk
CASE-0005-S04,CASE-0005,INIT-0005,4,Best Practices Guide for Hotels,https://www.bhahotels.com/wp-content/uploads/2009/06/best-practices-guide.pdf,bhahotels.com
CASE-0005-S05,CASE-0005,INIT-0005,5,"National Hamburger QSR case, eViewIoT",https://eviewiot.com/hamburger-qsr/,eviewiot.com
CASE-0006-S01,CASE-0006,INIT-0006,1,Energy Technology List Wetherspoon Case,https://etl.energysecurity.gov.uk/case-studies/quintex-helps-slash-energy-consumption-wetherspoons-pub,etl.energysecurity.gov.uk
CASE-0006-S02,CASE-0006,INIT-0006,2,Trane Wendy’s HVAC Case Study,https://www.trane.com/commercial/north-america/us/en/about-us/newsroom/case-studies/retail/Wendys.html,trane.com
