Legacy_Initiative_Name,New_Initiative_ID,New_Initiative_Name,Topic,Sub_Topic,Source_Row
Adopt a net-zero buildings plan,INIT-0001,Adopt a net-zero buildings plan,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,2
,INIT-0002,Measure and verify building energy performance,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,3
Install energy efficient HVAC systems,INIT-0003,Optimise and upgrade HVAC systems and controls,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,4
Implement Smart Dispense Systems,INIT-0004,Install smart draught beverage dispense systems,Energy & Buildings,Energy Management,5
"Install timer controls on domestic hot-water boilers; Roll out equipment timers across boilers, refrigeration and kitchen equipment",INIT-0005,Install timer controls across eligible equipment,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,6
Use intelligent kitchen extract systems,INIT-0006,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,7
Recover and reuse commercial heat,INIT-0007,"Recover and reuse waste heat from refrigeration, cooking or wastewater",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,8
Use gas boiler additives,INIT-0008,Upgrade boiler burner controls and balance heat-distribution systems,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,9
,INIT-0009,"Upgrade domestic hot-water generation, storage and circulation controls",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,10
Install equipment timers,INIT-0010,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,11
,INIT-0011,"Implement power management for small-power, IT and server-room equipment",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,12
,INIT-0012,Upgrade lift and escalator drives and controls,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,13
,INIT-0013,"Optimise swimming-pool circulation, heating, covers and backwashing",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,14
,INIT-0014,Replace high-GWP refrigerants with lower-GWP alternatives during planned plant intervention,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,15
,INIT-0015,Install refrigerant leak detection and implement rapid repair,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,16
,INIT-0016,Maintain a governed refrigerant inventory and leakage record,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,17
,INIT-0017,Recover refrigerants at equipment end of life and document transfer,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,18
,INIT-0018,"Upgrade refrigeration equipment, doors, seals, fans and controls",Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,19
Switch freezer temperatures to -15.,INIT-0019,Adopt a validated warmer freezer setpoint where product and food-safety rules allow,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,20
"Avoid outdoor patio heaters, or if you must use them, use infra-red electric heaters",INIT-0020,Phase out fossil-fuelled patio heaters and avoid unnecessary outdoor heating,Energy & Buildings,Buildings & Refrigerants & Fugitive Emissions,21
,INIT-0021,Conduct whole-life carbon assessments for major capital projects,Energy & Buildings,Capital Goods (sub group supply chain),22
"When undertaking new construction projects, design for performance and set embodied carbon targets",INIT-0022,Set operational-energy and embodied-carbon targets for new construction and major refurbishment,Energy & Buildings,Capital Goods (sub group supply chain),23
,INIT-0023,Apply carbon criteria at capital-project investment and design gates,Energy & Buildings,Capital Goods (sub group supply chain),24
,INIT-0024,Require EPDs or product-specific carbon data for priority materials and equipment,Energy & Buildings,Capital Goods (sub group supply chain),25
,INIT-0025,"Prioritise refurbishment, reuse and adaptation before new construction",Energy & Buildings,Capital Goods (sub group supply chain),26
Adopt reuse and recycling practices in buildings and fitouts,INIT-0026,Require component reuse and material recovery in building and fit-out projects,Energy & Buildings,Capital Goods (sub group supply chain),27
Use sustainable and locally-sourced materials in construction and maintenance,INIT-0027,Specify lower-carbon and responsibly sourced construction materials,Energy & Buildings,Capital Goods (sub group supply chain),28
,INIT-0028,"Specify durability, repairability, modularity and supplier take-back for capital equipment",Energy & Buildings,Capital Goods (sub group supply chain),29
,INIT-0029,"Design buildings and fit-outs for adaptability, disassembly and material recovery",Energy & Buildings,Capital Goods (sub group supply chain),30
,INIT-0030,Commission new buildings and major refurbishments against designed operational performance,Energy & Buildings,Capital Goods (sub group supply chain),31
Replace old kitchen equipment with energy efficient alternatives,INIT-0031,Apply verified energy-efficiency criteria when replacing kitchen equipment,Energy & Buildings,Capital Goods (sub group supply chain),32
Explore installation of hydrogen-ready kitchen equipment,INIT-0032,Assess the feasibility of hydrogen-ready kitchen equipment,Energy & Buildings,Capital Goods (sub group supply chain),33
Lease locations in low impact buildings.,INIT-0033,Apply environmental-performance criteria when selecting leased sites,Energy & Buildings,"Leased, Tenanted & Franchised Sites",34
,INIT-0034,Apply energy and carbon criteria to lease renewals and franchise onboarding,Energy & Buildings,"Leased, Tenanted & Franchised Sites",35
,INIT-0035,"Include green performance, data and cooperation clauses in leases and franchise agreements",Energy & Buildings,"Leased, Tenanted & Franchised Sites",36
,INIT-0036,"Collect and quality-check energy and emissions data from leased, tenanted and franchised sites",Energy & Buildings,"Leased, Tenanted & Franchised Sites",37
,INIT-0037,Secure rights and approval routes for environmental improvements in leased sites,Energy & Buildings,"Leased, Tenanted & Franchised Sites",38
,INIT-0038,Enable renewable electricity procurement under lease and franchise arrangements,Energy & Buildings,"Leased, Tenanted & Franchised Sites",39
