Sno,topic,Sub Topic,Initiative,Old Initiative,Tools,Sub-Sector included,Sub-Sector Excluded,Description,Why/Benefit,How to achieve this,KPI (Measurable Objective),Evidence/Case Study,Evidence Reference,Cost Saving/Cost ,Carbon Abatement Potential,Time to implement/ROI,Efficiency/Impact measure
1,Supplier & Value Chain Engagement,Strategy,Undertake a comprehensive review of emissions and sustainability risk across the supply chain (baseline assessment),Undertake a comprehensive review of your emissions in your supply chain and make a plan to reduce them.,"GHG Protocol Scope 3 Calculation Guidance. Helps members establish a Scope 3 emissions baseline, identify relevant value-chain categories and select appropriate calculation methods depending on the data available.",All,None,"Conduct a baseline assessment of Scope 3 emissions and material sustainability risks across the supply chain, prioritising high-spend, high-emission and high-risk categories. Use the findings to identify data gaps, priority suppliers and reduction opportunities.","Establishes a clear Scope 3 baseline, identifies material emissions and sustainability risks, highlights data gaps, and enables resources to be focused on the highest-impact suppliers and categories.","1. Map all relevant Scope 3 categories and procurement spend. 2. Calculate an initial footprint using available activity, spend and supplier-specific data. 3. Rank categories and suppliers by emissions, spend and sustainability risk. 4. Identify data gaps and create a prioritised reduction and supplier-engagement plan. 5. Refresh the assessment annually.","% of relevant Scope 3 categories assessed, with priority suppliers and reduction opportunities identified",Whitbread applies an inherent risk assessment to 100% of suppliers before conducting more detailed assessment of higher-risk suppliers. Its responsible-sourcing approach demonstrates how a large hospitality operator can systematically screen its supply chain and prioritise higher-risk areas.,https://www.whitbread.co.uk/sustainability/responsibility/responsible-sourcing/,"Primarily staff/consultancy and data-system cost. No universal public cost benchmark; cost depends on supply-chain size, data availability and whether external carbon-accounting support is used.",No direct abatement from assessment alone. It enables subsequent Scope 3 reductions by identifying material hotspots and priority suppliers; abatement should be attributed to actions triggered by the review.,Initial baseline commonly requires several months depending on data maturity; then refreshed annually. No standalone ROI because this is an enabling/diagnostic action.,% Scope 3 emissions screened; % spend mapped; % supplier-specific data coverage; number/value of priority reduction opportunities identified.
2,Supplier & Value Chain Engagement,Strategy,Set a Scope 3 emissions reduction target (e.g. aligned to SBTi),"Set strategic Scope 3 goals, embedded within wider functional team goals, with clear metrics for tracking progress.","SBTi Supplier Engagement Guidance. Helps members translate Scope 3 ambitions into measurable supplier-related targets, define appropriate coverage and establish a process for tracking progress.",All,None,"Establish a measurable and time-bound Scope 3 emissions reduction target with a defined baseline year, target year and organisational boundary. Align the target with the Science Based Targets initiative where appropriate.","Creates a clear long-term direction for value-chain decarbonisation, supports accountability and investment prioritisation, and provides a credible external benchmark where the target is science-aligned.","1. Complete the Scope 3 baseline and identify material categories. 2. Select an absolute reduction, intensity or supplier-engagement target consistent with recognised guidance. 3. Define baseline year, target year, boundary and calculation method. 4. Obtain executive approval and, where appropriate, submit to SBTi. 5. Track and disclose progress annually.","Scope 3 target coverage as % of total Scope 3 emissions, with target-year progress tracked annually",SBTi requires companies whose Scope 3 emissions exceed the relevant threshold to set Scope 3 targets; supplier-engagement and/or reduction targets should collectively cover at least 67% of total Scope 3 emissions under current criteria.,https://sciencebasedtargets.org/standards-and-guidance,"Internal target-setting cost is generally low, but inventory improvement, SBTi validation and implementation require staff and potentially consultancy/data costs. No universal ROI.","Potentially high over the target period, but the target itself does not reduce emissions. Actual abatement depends on the portfolio of procurement, supplier and product interventions used to deliver it.","Target design can be completed over several months once a credible baseline exists. ROI is realised through the underlying reduction initiatives, not the target-setting exercise itself.",% Scope 3 covered by target; annual % reduction vs baseline; tCO2e reduced; % target trajectory achieved.
3,Supplier & Value Chain Engagement,Strategy,"Establish a sustainable procurement policy, approved and sponsored at Board/ExCo level",New initiative,"ISO 20400 Sustainable Procurement Guidance. Helps members integrate sustainability principles into procurement policies, governance, decision-making and purchasing processes.",All,None,"Develop and approve a sustainable procurement policy that defines environmental and social requirements, governance responsibilities and decision-making criteria for purchasing goods and services. Ensure the policy is supported by an appropriate senior governance body.","Provides a consistent governance framework for procurement decisions, embeds sustainability into purchasing standards, strengthens accountability and reduces environmental, social and reputational supply-chain risks.","1. Define policy scope, principles and priority environmental/social requirements. 2. Assign procurement and sustainability responsibilities. 3. Consult category teams, legal and key stakeholders. 4. Obtain Board/ExCo or equivalent senior approval. 5. Integrate the policy into sourcing, tenders, contracts and supplier reviews. 6. Review periodically.","Sustainable procurement policy approved, communicated and applied to % of addressable procurement spend","Whitbread operates a responsible-sourcing framework with commodity-specific sourcing policies and supplier due diligence. Its responsible-sourcing page states that 100% of suppliers undergo inherent risk assessment, illustrating policy application across a large hospitality supply base.",https://www.whitbread.co.uk/sustainability/responsibility/responsible-sourcing/,"Low direct capex; primarily policy development, legal/procurement staff time and implementation costs. No standalone carbon-payback figure is publicly disclosed.","Indirect. The policy enables emissions and risk reductions through sourcing requirements, but carbon savings should be attributed to the specific procurement changes it drives.",Policy development and approval can typically be completed within months; full application across procurement may take one or more contract cycles. No universal ROI.,% addressable spend covered; % tenders/contracts applying policy; supplier compliance rate; number of policy exceptions.
4,Supplier & Value Chain Engagement,Strategy,"Implement a regular cadence of touchpoints between procurement, sustainability, and category teams to drive Responsible Procurement priorities",New initiative,"Internal governance process. No specific external tool is required. Members can implement this through regular cross-functional meetings, clear ownership, action tracking and performance reviews.",All,None,"Establish regular cross-functional meetings between procurement, sustainability and category teams to review responsible procurement priorities, supplier performance, risks, actions and delivery responsibilities.","Improves coordination and accountability, helps sustainability information influence commercial decisions, and reduces the risk that supplier actions stall between functions.","1. Establish monthly or quarterly governance meetings. 2. Maintain a shared dashboard covering priority suppliers, data gaps, risks and actions. 3. Assign action owners and deadlines. 4. Escalate material issues to senior governance. 5. Review progress and update priorities at each meeting.","% of planned cross-functional responsible procurement meetings held, with actions closed by due date","SBTi supplier-engagement guidance highlights the need for internal alignment, clear ownership and structured programmes before and during supplier engagement. This provides an evidence base for regular cross-functional governance even where companies do not disclose meeting cadence publicly.",https://sciencebasedtargets.org/blog/new-supplier-engagement-guidance-unlocking-the-power-of-supply-chains-for-decarbonization,Very low direct cost; mainly staff time and dashboard/reporting effort.,Indirect/enabling. No defensible generic tCO2e saving can be assigned to meetings themselves; impact comes from faster delivery of procurement and supplier actions.,Can be established within weeks. No formal ROI; operational benefit should be measured through action closure and delivery performance.,% meetings held; % actions closed on time; number of escalated issues resolved; tCO2e/value delivered by actions governed through the forum.
5,Supplier & Value Chain Engagement,Strategy,Build sustainable procurement training and capability into the wider procurement team's professional development,Hire specialist sustainability resource inside your procurement team.,"CDP Supplier Engagement Guidance. Provides practical guidance on supplier engagement, data collection and climate-related supply-chain management that can support procurement-team capability building and training.",All,None,"Provide role-specific sustainable procurement training for procurement and category teams, covering Scope 3 emissions, supplier engagement, environmental risks, responsible sourcing standards and the use of sustainability criteria in purchasing decisions.","Builds internal capability so sustainability criteria are consistently applied in sourcing decisions, reduces dependence on a small specialist team and improves the quality of supplier engagement and data requests.","1. Assess capability gaps by procurement role. 2. Develop role-specific modules on Scope 3, sourcing standards, supplier data and category risks. 3. Integrate training into onboarding and professional development. 4. Provide practical category tools and templates. 5. Track completion and assess application through procurement reviews.",% of relevant procurement and category staff completing role-specific sustainable procurement training,"SBTi cites AstraZeneca's supplier programme, which uses webinars, training, supplier resources and clear reporting expectations; the programme was associated with an 18% increase in suppliers reporting emissions to CDP.",https://sciencebasedtargets.org/news/supply-change-sbti-launches-cop-call-to-action,"Low to moderate cost depending on whether training is developed internally or externally. Costs are mainly staff time, training design and delivery.",Indirect. Training does not itself create a reliable carbon saving; abatement comes from improved sourcing and supplier decisions made by trained teams.,"Initial training can be designed and rolled out within months, then repeated annually/onboarding. No standalone ROI.",% staff trained; assessment/pass rate; % sourcing events applying sustainability criteria; supplier-data response/quality improvement.
6,Supplier & Value Chain Engagement,Engagement,Collect sustainability data from suppliers,"Introduce a supplier engagement platform, with a system for monitoring, accountability and support for suppliers.","CDP Supply Chain. Helps members collect standardised climate and sustainability information from suppliers, identify data gaps and improve visibility of supplier performance.",All,None,"Establish a standardised process for collecting relevant emissions and sustainability data from priority suppliers through questionnaires, reporting platforms, contractual requirements or direct engagement. Define minimum data requirements and monitor supplier response and data quality.","Improves Scope 3 accuracy, reduces reliance on spend-based estimates, identifies supplier-specific hotspots and creates the information needed to track supplier progress and target engagement.","1. Define priority supplier population and minimum data fields. 2. Select collection route such as questionnaire, CDP/platform or direct template. 3. Communicate requirements and deadlines. 4. Provide guidance and support. 5. Validate completeness and quality. 6. Integrate accepted data into the Scope 3 inventory and supplier scorecards.","% of priority suppliers providing requested sustainability data, with % meeting minimum data-quality requirements","SBTi reports that AstraZeneca's structured supplier engagement—including reporting expectations, training and support—produced an 18% increase in suppliers reporting emissions to CDP.",https://sciencebasedtargets.org/news/supply-change-sbti-launches-cop-call-to-action,"Variable. Internal questionnaires can be low cost; specialist supplier-data platforms and assurance add subscription, onboarding and staff costs. No universal public benchmark.","Indirect initially, but essential for identifying and verifying supplier reductions. No generic abatement factor should be assigned to data collection itself.","Basic collection can begin within months; achieving high-quality supplier-specific coverage is usually multi-year. ROI comes from better decisions, compliance and verified reductions rather than direct savings.",% priority suppliers responding; % supplier spend/emissions covered by primary data; % data meeting quality threshold; reduction in estimated-data share.
7,Supplier & Value Chain Engagement,Engagement,Conduct lifecycle assessments (LCA) and collect product carbon footprints on key commodities to understand emissions at ingredient level,Conduct LCAs on specific commodities to understand your emissions at ingredient level.,GHG Protocol Product Life Cycle Accounting and Reporting Standard. Provides a consistent methodology for quantifying product-level emissions and helps members compare carbon impacts across commodities or products using defined system boundaries.,All,None,"Collect product carbon footprint data or conduct lifecycle assessments for priority high-emission commodities and products. Use the results to identify emissions hotspots, compare sourcing options and support lower-impact procurement decisions.","Provides product-level evidence for comparing suppliers and ingredients, improves the accuracy of Scope 3 calculations and enables targeted recipe, sourcing and supplier interventions.",1. Prioritise commodities by emissions/spend. 2. Define consistent functional units and lifecycle boundaries. 3. Request supplier PCFs/EPDs or commission LCAs where needed. 4. Review methodology and data quality. 5. Compare hotspots and alternatives. 6. Integrate results into sourcing and product decisions.,% of priority commodities covered by product carbon footprints or LCAs meeting defined quality criteria,The GHG Protocol Scope 3 framework supports progressively improving purchased-goods data from secondary estimates toward supplier/product-specific information. SBTi supplier guidance similarly stresses better supplier emissions data as a foundation for value-chain action.,https://ghgprotocol.org/corporate-value-chain-scope-3-standard,"Moderate to high analytical cost where bespoke LCAs are commissioned; lower where credible supplier PCFs already exist. Cost varies by product complexity, number of SKUs and assurance level.",No direct abatement from measurement. High decision-support potential because LCAs can identify lower-carbon ingredients/suppliers; savings must be calculated from the sourcing or product change selected.,Individual studies can take weeks to months; portfolio coverage is usually phased. ROI depends on whether results lead to lower-cost/lower-carbon sourcing or product reformulation.,% priority commodities with quality-assured PCFs/LCA; % spend/emissions covered; kgCO2e/kg or serving; number of sourcing changes informed by LCA.
8,Supplier & Value Chain Engagement,Engagement,Set supplier-facing requirements (Supplier codes of conduct) and communicate shared targets,Build carbon reduction and sustainability challenges into supplier contracts.; Communicate your Scope 3 goals to suppliers and set them goals.,"SBTi Supplier Engagement Guidance. Helps members structure climate expectations for suppliers, communicate emissions targets and develop an approach for supplier target-setting and engagement.",All,None,"Incorporate sustainability requirements into supplier codes of conduct, contracts, tender documents, onboarding processes and performance expectations. Communicate relevant Scope 3 targets and clarify the actions and data expected from suppliers.","Creates clear and consistent supplier expectations, strengthens accountability, embeds sustainability into commercial relationships and helps align suppliers with the organisation's Scope 3 pathway.","1. Define minimum supplier sustainability requirements. 2. Embed them in the supplier code, tenders and contracts. 3. Communicate Scope 3 targets and reporting expectations. 4. Provide implementation guidance. 5. Monitor acceptance/compliance and escalate gaps. 6. Update requirements as standards mature.","% of addressable supplier spend covered by an approved supplier code, contractual sustainability clauses or communicated targets","SBTi cites AstraZeneca's clear supplier standards and reporting expectations. Its programme contributed to an 18% increase in suppliers reporting emissions to CDP, illustrating the effect of clear requirements combined with support.",https://sciencebasedtargets.org/news/supply-change-sbti-launches-cop-call-to-action,"Low to moderate implementation cost, mainly legal/procurement time, supplier communication and monitoring. Commercial impacts depend on supplier response and contract design.","Indirect but potentially high across material suppliers. Requirements create the mechanism for reductions, but verified abatement must be measured from supplier actions.",Can be introduced in new tenders immediately and rolled through existing contracts over renewal cycles; full coverage may take several years. No generic ROI.,% spend under requirements; % suppliers acknowledging code/targets; % suppliers reporting emissions; % suppliers with reduction targets; tCO2e reduced.
9,Supplier & Value Chain Engagement,Engagement,Use a supplier scorecard to track performance and prioritise engagement with material suppliers,"Introduce a supplier engagement platform, with a system for monitoring, accountability and support for suppliers.","EcoVadis Sustainability Ratings. Provides supplier sustainability scorecards that can help members assess performance, compare suppliers and prioritise engagement with material or higher-risk suppliers.",All,None,"Introduce a supplier sustainability scorecard covering relevant indicators such as emissions data, target-setting, compliance, certifications, risk and improvement progress. Use the results to monitor performance and prioritise engagement with material suppliers.","Creates a comparable view of supplier performance, focuses limited engagement resources on the most material gaps and enables sustainability performance to influence supplier reviews and sourcing decisions.",1. Select a concise set of material scorecard indicators. 2. Weight metrics by category/risk where appropriate. 3. Populate using supplier data and evidence. 4. Review scores with suppliers at least annually. 5. Agree corrective/improvement actions. 6. Link results to sourcing and preferred-supplier decisions where appropriate.,% of priority suppliers assessed through the scorecard and % with agreed improvement actions,"SBTi supplier-engagement guidance recommends segmenting suppliers, setting clear expectations, tracking progress and adapting engagement based on supplier performance. This supports a scorecard approach even where a hospitality-specific quantified case is not publicly disclosed.",https://sciencebasedtargets.org/blog/new-supplier-engagement-guidance-unlocking-the-power-of-supply-chains-for-decarbonization,Low to moderate if built into existing procurement systems; higher if a third-party ratings/platform service is purchased. No universal public cost.,Indirect. Scorecards enable prioritisation and accountability; carbon impact comes from the improvement actions suppliers implement.,Can be designed and piloted within months; mature scorecard programmes develop over annual supplier-review cycles. No standalone ROI.,% priority suppliers scored; average/median score; % with improvement plans; % actions completed; % spend with high-performing suppliers.
10,Supplier & Value Chain Engagement,Engagement,"Provide a tailored supplier engagement strategy for material/priority suppliers (segmented by spend, risk, and emissions contribution)",Map your key suppliers with key commodities and identify which suppliers need help.; Work with suppliers to understand your emissions and identify opportunities for emissions reductions.,"SBTi Supplier Engagement Guidance and CDP Supplier Engagement Guidance. Help members identify priority suppliers and develop differentiated engagement approaches based on emissions, spend, strategic importance and supplier capability.",All,None,"Segment suppliers according to procurement spend, emissions contribution, sustainability risk and strategic importance. Develop differentiated engagement plans for priority supplier groups, including data requests, meetings, training, improvement plans and commercial incentives.","Directs engagement effort toward suppliers that matter most, improves supplier support and increases the likelihood that limited procurement and sustainability resources deliver measurable Scope 3 progress.","1. Segment suppliers by spend, emissions, risk and strategic importance. 2. Define engagement tiers. 3. Set tailored asks for each tier, from basic data disclosure to science-based targets and joint projects. 4. Provide support and training. 5. Track progress and re-segment annually.",% of priority supplier groups with a documented engagement plan and % of planned actions completed,"SBTi supplier-engagement guidance provides a structured approach to evaluating suppliers, developing targets and implementing differentiated engagement programmes. AstraZeneca's supplier programme demonstrates the use of targeted resources and reporting expectations.",https://sciencebasedtargets.org/standards-and-guidance,"Low to moderate programme cost; primarily staff time, supplier workshops, data tools and support. Cost rises with the depth of one-to-one engagement.",Potentially high where engagement is concentrated on suppliers responsible for a large share of Scope 3 emissions. Actual abatement must be measured from supplier reductions.,"Segmentation can be completed in months; supplier improvement is typically multi-year. ROI depends on emissions reductions, resilience and commercial benefits achieved.",% priority suppliers with engagement plans; % actions completed; % supplier emissions covered; % suppliers setting targets; tCO2e reduced.
