Topic,Sub-Topic,Category,Initiative,Old Initiatve,Description,Sector Included,Sector not included,Benefits,Evidence,KPI ,KPI Justification,Case Execution,Case Impact
Nature & Resources,Nature & Biodiversity,Supplier Engagement,Introduce certification to demonstrate responsible sourcing and deforestation avoidance.,Introduce certification to demonstrate responsible sourcing and deforestation avoidance.,Using recognised certification schemes to provide assurance that key commodities are responsibly sourced and not linked to deforestation,"Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Regulatory Compliance, Brand Reputation & Supply security","Proactive reliance on third-party verification insulated the company from major geopolitical and regulatory disruptions, such as the strict penalties associated with the EU Deforestation Regulation (EUDR)","% of total food and packaging spend covered by a recognised certification (Rainforest Alliance, RSPO, FSC, UTZ)","Spend coverage is more honest than a binary yes/no, since a company can hold one certification on one commodity and claim they've ""done"" this initiative while 90% of their supply chain remains uncovered",,
Nature & Resources,Nature & Biodiversity,Supplier Engagement,"Conduct LCAs on the top [X] commodities by spend or estimated emissions, completing at least one per year",Conduct LCAs on specific commodities,Conducting life-cycle assessments of selected ingredients or commodities to quantify environmental impacts from production through use or disposal.,"Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,Problem Identification and gives a dircetion for creating maximum impact while using less resources,Aluminium Apple ,"Number of commodities with a completed LCA, and the % of total ingredient spend those commodities represent","An LCA on a low-value, low-impact ingredient achieves nothing. Tying it to spend share forces prioritisation toward the ingredients that actually move the footprint needle","Apple developed detailed, process-based environmental models using Apple-specific parameters rather than industry averages to isolate precisely where aluminium emissions occur
LCAs identified primary smelting as a major energy-intensive bottleneck, guiding engineers to pivot from primary mining to circular recovery.
Apple redesigned product architectures to accept lower carbon inputs, actively repurposing scrap manufacturing material to create high-durability alloys 
Recycled-aluminium configurations were methodically integrated across product lines, scaling up from accessories to major hardware enclosures","Reduced overall aluminium-related greenhouse gas emissions by more than 70 percent compared to the 2015 baseline
more than 70 percent of the total aluminium shipped in Apple products globally came entirely from recycled sources.
The newly launched MacBook Neo laptop advanced this trajectory by utilizing 90 percent recycled aluminium in its build"
Nature & Resources,Nature & Biodiversity,Supplier Engagement,Commission at least one named specialist to assess on-farm emissions for the top three commodities by spend or estimated emissions,Engage third parties on biggest on-farm emissions hotspots,"Working with specialist third parties to identify, quantify and address the largest agricultural emissions sources within the supply chain.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Methodology Accuracy, Verified Carbon Premium unlocked & Hidden efficiency gains",Nestle X Klim,"Number of on-farm hotspot assessments completed by a named specialist, with a minimum defined as the top three commodities by spend or emissions","Forces a scope decision up front (which commodities, which third party) and a completion test that doesn't allow ""we had a call"" to count as done","2022 Pilot: Ten farmers provided operational data and collaborated with Klim agronomists to identify the most effective regenerative practices for their specific soil conditions.2023 Scale-up: The project expanded to 26 farmers, implementing these targeted practices across approximately 12,000 hectares.2024 Scope: The initiative grew to encompass 50 farmers, with plans to expand further into new regions and additional raw material streams.Core Practices: Participating farms adapted their management plans by introducing cover crops, reducing tillage, cutting back on chemical fertilisation, and diversifying crop rotations.System Process: Klim managed the data tracking and digital platform onboarding, delivering full Measurement, Reporting, and Verification (MRV) services to validate emission reductions.","Sequestered and reduced approximately 14,000 tonnes of soil carbon across the project
Enhanced biodiversity on 3,949 hectares
Improved the long-term predictability and security of food production and agricultural supply chains
 Enhanced soil health, humus formation, water retention, and crop infiltration, protecting yields during drought periods"
Nature & Resources,Nature & Biodiversity,Food & Beverage,Introduce menu items sourced from ingredients grown using regenerative practices,Introduce menu items sourced from ingredients grown using regenerative practices,Introducing menu items made with ingredients produced through regenerative or other verified nature-positive agricultural practices.,"Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,"Brand Premium, Supply Resilience & Scope 3 reduction",Sweetgreen,"% of total main menu dishes containing at least one verified regenerative-source ingredient, and % of sales those dishes represent",Having 10 regenerative dishes is meaningless if they represent 2% of sales. The sales-share figure catches companies that add one token option and count it as progress,"The chain introduced the Super Green Goddess Salad, a permanent, year-round menu item featuring a mix of lentils and plant-based whole foods across all 121 of its restaurant locations
Sweetgreen labeled the menu item as a ""low-carbon option"" directly on its digital and physical menus to visually signal its lower environmental footprint to consumers
The company substituted high-emission proteins with lentils, which naturally act as a ""net-negative carbon use crop"" and require minimal external resource management
Sweetgreen combined these ingredients into their standard culinary workflow using scratch-cooking techniques to deliver a functional food option that provides high levels of satiety","Sweetgreen's plant-rich menu choices resulted in offerings that are 30% less carbon intensive than the baseline average American diet
The resulting $9.95 dish delivers a clean profile of 485 calories, 20 grams of protein, and 8 grams of fiber per single serving
Sweetgreen successfully tapped into an expanding consumer demand trend; over the past decade, quick-service restaurant lentil offerings rose by 42%, and grew by 28% across all restaurant segments
Agricultural Supply Resilience
Natural Soil Restoration
Brand Premium & Consumer Alignment"
Nature & Resources,Nature & Biodiversity,Biodiversity,x,Understand biodiversity footprint across supply chain & policies,"Assessing biodiversity impacts and dependencies across the supply chain and establishing policies to prevent, reduce or restore associated harm.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,,,"Number of key commodity supply chains assessed for biodiversity impact, covering at minimum the top 5 by spend",,,
Nature & Resources,Nature & Biodiversity,Biodiversity,Publish a biodiversity policy with named targets and owner,Understand biodiversity footprint across supply chain & policies,"Assessing biodiversity impacts and dependencies across the supply chain and establishing policies to prevent, reduce or restore associated harm.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Low Cost of Capital, Risk Mitigation, Enhancing portfolio value",EDF,"Binary yes/no policy in place, reviewed annually, with named responsible owner",,,
Nature & Resources,Nature & Biodiversity,Biodiversity,Commit to zero deforestation in your supply chain,Commit to zero deforestation in your supply chain,Making a formal commitment to eliminate deforestation and ecosystem conversion associated with products and commodities in the supply chain.,"Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,,,"% of total spend on high-deforestation-risk commodities (beef, soy, palm oil, cocoa, paper/board) traceable to verified deforestation-free sources, with a dated target for reaching 100%",The spend-coverage figure with a date attached is what turns a commitment into something auditable,,
Nature & Resources,Nature & Biodiversity,Biodiversity,Remove,Introduce nature-positive menu products,"Adding menu products that support biodiversity, soil health, lower ecosystem pressure or regenerative and nature-positive production systems.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",Partial for Experiential Leisure & Brewries,,,Remove,Remove,,
Nature & Resources,Nature & Biodiversity,Biodiversity,Ensure compliant with Biodiversity Net Gain (BNG),Ensure compliant with Biodiversity Net Gain (BNG),Meeting applicable Biodiversity Net Gain requirements by measuring habitat impacts and delivering the required improvement in biodiversity value.,"Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,"Prevents planning blockages and costly delays, Minimizes expensive credit spending, Unlocks a new land asset class",Aldi,"Biodiversity units gained per qualifying development project, confirmed by an accredited assessor",BNG has a statutory measurable output (biodiversity units) so the KPI can be precise and independently verified,,
Nature & Resources,Nature & Biodiversity,Biodiversity,Remove,Introduce a biodiversity policy,"Establishing a formal policy that sets commitments, responsibilities and principles for protecting and enhancing biodiversity.","Restaurant, QSR, Pubs/Bars, Contract Caterers, Hotels, Brewries, Experiential Leisure",-,,,Remove,Remove,,
