Requirement_Set_ID,Factor_ID,Card_ID,Initiative_ID,Factor_Bank,Formula_Type,Calculation_Expression,Primary_Output_Metric,Output_Unit_Rule,Scenario_Value_Source,Eligibility_Rule,Coverage_Default,Override_Rule,Missing_Input_Behaviour,Required_Input_Count,Total_Input_Count,Requirement_Status,Lifecycle_Status,Access_Classification,Factor_Availability,Version,Last_Reviewed,Source_Workbook,Source_Row
CRS-0001,CCF-0001,CARD-0001,INIT-0001,Cost Factors,UNSPECIFIED,,Cost,,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,GAP,1.0,2026-08-18,Consolidate.xlsx,2
CRS-0002,CPF-0001,CARD-0002,INIT-0001,Carbon Factors,UNSPECIFIED,,Carbon abatement,,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,GAP,1.0,2026-08-18,Consolidate.xlsx,2
CRS-0003,CTF-0001,CARD-0003,INIT-0001,Timing Factors,UNSPECIFIED,,Payback,,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,GAP,1.0,2026-08-18,Consolidate.xlsx,2
CRS-0004,CEF-0001,CARD-0004,INIT-0001,Efficiency Factors,UNSPECIFIED,,Efficiency,,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,GAP,1.0,2026-08-18,Consolidate.xlsx,2
CRS-0005,CCF-0002,CARD-0005,INIT-0002,Cost Factors,DISPLAY_PUBLISHED,Annual M&V cost = annual guaranteed project cost savings × 1.5%–3.0%,Cost,% of annual guaranteed project cost savings,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,3
CRS-0006,CPF-0002,CARD-0006,INIT-0002,Carbon Factors,DISPLAY_PUBLISHED,"Verified annual tCO2e saving = (verified electricity kWh saved × 0.13096 + verified gas kWh saved × 0.18231) ÷ 1,000",Carbon abatement,kgCOe per verified electricity kWh saved; kgCOe per verified gas kWh saved,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,3
CRS-0007,CTF-0002,CARD-0007,INIT-0002,Timing Factors,DISPLAY_PUBLISHED,First annual savings result = annualised from at least 9 months (preferably 12 months) of performance data; reporting interval = each performance year,ROI,Option C whole facility M&V: at least months (preferably months) of performance data for the first annual savings result; annual M&V reporting thereafter,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,3
CRS-0008,CEF-0002,CARD-0008,INIT-0002,Efficiency Factors,DISPLAY_PUBLISHED,£13.1275m ÷ £447.6676m = 2.9%,Efficiency,% additional cost saving opportunity identified versus annual reported savings,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,3
CRS-0009,CCF-0003,CARD-0009,INIT-0003,Cost Factors,DISPLAY_PUBLISHED,"Recommissioning: £1.24/m² = US$1.60 ÷ 1.2888; £2.20/m² = US$2.84 ÷ 1.2888; £4.68/m² = US$6.03 ÷ 1.2888
Chiller premium = £180−£160=£20/kW
1 m³/s AHU premium = £16,000−£14,500=£1,500/m³/s
13 m³/s AHU premium = £4,300−£3,900=£400/m³/s
Packaged AHU total = (10.8×£12,000)+£10,000+£41,880=£181,480≈£181,000",Cost,Recommissioning: /m²; median /m² ( prices) Air cooled chiller: /kW total; /kW high efficiency premium ( prices) AHU: /m³/s at m³/s or /m³/s at m³/s; high efficiency premiums and /m³/s respectively ( prices) Packaged AHU: for m³/s ( estimate),PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,4
CRS-0010,CPF-0003,CARD-0010,INIT-0003,Carbon Factors,DISPLAY_PUBLISHED,"Recommissioning energy saving = baseline source energy × 3.4%–12.4% (median 6.4%); annual tCO2e saving = (verified electricity kWh saved × 0.13096 + verified gas kWh saved × 0.18231) ÷ 1,000
Chiller at equal cooling output: 1−(3.6÷4.4)=18.2%; 18.2%×0.13096=0.02381 kgCO2e/kWh
AHU at equal airflow and runtime: (2.6−2.3)÷2.6=11.5%; 11.5%×0.13096=0.01511 kgCO2e/kWh",Carbon abatement,Recommissioning: % whole building source energy saving; median % Chiller: theoretical % lower input electricity at equal cooling output; kgCOe avoided per baseline electricity kWh AHU: theoretical % lower fan electricity at equal airflow and runtime; kgCOe avoided per baseline electricity kWh Packaged HVAC: site specific electricity and carbon reduction based on verified seasonal efficiency improvement,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,4
CRS-0011,CTF-0003,CARD-0011,INIT-0003,Timing Factors,DISPLAY_PUBLISHED,"Recommissioning simple payback = project cost ÷ first-year energy cost saving; 25th percentile 0.8 years, median 1.7 years, 75th percentile 3.5 years; sample 656 projects
Chiller premium payback = £10,000 incremental capital cost ÷ £4,600 annual energy saving = 2.17 years ≈ 2.2 years",Payback,Recommissioning: years; median simple payback years High efficiency chiller incremental premium: year energy only simple payback for a kW benchmark,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,4
CRS-0012,CEF-0003,CARD-0012,INIT-0003,Efficiency Factors,DISPLAY_PUBLISHED,"Chiller SSEER uplift = (4.4−3.6)÷3.6=22.2%; theoretical input-energy reduction = 1−(3.6÷4.4)=18.2%
AHU SFP reduction = (2.6−2.3)÷2.6=11.5%; actual site performance depends on load, controls, ductwork and operating hours
Recommissioning median 6.4% reflects whole-building source-energy savings across the cited project sample and is not additive to the equipment-specific benchmarks",Efficiency,Recommissioning: median % whole building source energy saving Chiller specification benchmark: SSEER → (+%); theoretical input energy reduction % at equal cooling output AHU specification benchmark: SFP → W/(l/s) (−%) at equal airflow and runtime,PUBLISHED_DISPLAY_VALUE,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,4
CRS-0013,CCF-0004,CARD-0013,INIT-0004,Cost Factors,DISPLAY_PUBLISHED,"The 2025 terms provide the per-tap monthly service fees. The 10-tap benchmark is (10 × £30 + £31 + £16) × 12 = £4,164 ex VAT. HEINEKEN retains ownership of installed SmartDispense equipment, so the published equipment values are replacement values rather than customer purchase prices.",Cost,SmartDispense CellarPro BarPro CF or CellarPro CF: /tap/month ex VAT for HEINEKEN and partner brands; /tap/month for third party brands. Underbar: / per tap/month. Cellar Manager: /month. Remote Manager: /month. Ten partner brand taps plus both energy controls: /year ex VAT.,PUBLISHED_DISPLAY_VALUE,"Pubs, bars and breweries; restaurants, hotels, experiential leisure and contract caterers operating draught beer or cider",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,5
CRS-0014,CPF-0004,CARD-0014,INIT-0004,Carbon Factors,DISPLAY_PUBLISHED,"The combined benchmark adds the two HEINEKEN control examples: 5,221 + 1,750 = 6,971 kWh/year and 1.11 + 0.32 = 1.43 tCO2e/year. This covers cooling-control electricity only; avoided beer, water, dispense gas and cleaning chemicals are additional but are not converted to carbon because the cited sources do not provide product-specific factors.",Carbon abatement,Cellar Manager: kWh and tCOe/year; Remote Manager: kWh and tCOe/year; combined: kWh and tCOe/year,PUBLISHED_DISPLAY_VALUE,"Pubs, bars and breweries; restaurants, hotels, experiential leisure and contract caterers operating draught beer or cider",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,5
CRS-0015,CTF-0004,CARD-0015,INIT-0004,Timing Factors,DISPLAY_PUBLISHED,"Annual fees = (£31 + £16) × 12 = £564. Gross annual saving = £1,529 + £513 = £2,042. Net annual benefit = £2,042 − £564 = £1,478. Annual ROI = £1,478 ÷ £564 = 262%. This combines two supplier worked examples at £0.2929/kWh and excludes wider product, water, chemical, labour and sales benefits.",ROI,Annual service fees: ex VAT; gross annual energy cost saving: ; net annual benefit: ; annual ROI: %; assumed electricity price: /kWh,PUBLISHED_DISPLAY_VALUE,"Pubs, bars and breweries; restaurants, hotels, experiential leisure and contract caterers operating draught beer or cider",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,5
CRS-0016,CEF-0004,CARD-0016,INIT-0004,Efficiency Factors,DISPLAY_PUBLISHED,"The 18,000-pint figure is HEINEKEN’s current CellarPro average for 10 taps, weekly baseline cleaning and at least three kegs per tap per week. The 156 hours assumes three staff hours per week avoided. The 85% figure compares weekly with six-weekly cleaning. The 4% sales result comprises 3% attributed to improved quality and 1% to staff training in Vianet Beer Insights 2019/20. These outcomes overlap and should not be added together.",Efficiency,pints/year combined beer water gas and chemicals; staff hours/year; % reduction in beer water CO and cleaning material waste from weekly to six weekly cleaning; average pints of water/year; % annual sales increase,PUBLISHED_DISPLAY_VALUE,"Pubs, bars and breweries; restaurants, hotels, experiential leisure and contract caterers operating draught beer or cider",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,5
CRS-0017,CCF-0005,CARD-0017,INIT-0005,Cost Factors,DISPLAY_PUBLISHED,"Direct UK supplier prices for timer hardware. Plug-in units suit appropriate socket loads; fused-spur units suit fixed low-load equipment; heating programmers control separate heating and hot-water schedules; commercial controllers suit more robust applications. Hardwired, high-load and three-phase equipment may require an electrician, enclosure, relay or contactor, so installed cost should be quoted site by site.",Cost,Plug in day timer: inc VAT A and up to kW; fused spur day timer: inc VAT and suitable for loads up to kW; two channel heating and hot water programmer: inc VAT; commercial day A controller: ex VAT,PUBLISHED_DISPLAY_VALUE,"Restaurants; QSR; pubs, bars and breweries; contract caterers with control of site equipment; hotels; experiential leisure",FOUR_SLOT_CARD,EMPTY_STAYS_EMPTY,SHOW_EMPTY,0,0,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,6
