Factor_ID,Card_ID,Factor_Name,Factor_Type,Factor_Family,Factor_Bank,Cost_Category,Outcome_Category,Cost_Boundary,Performance_Boundary,Technology_or_Scope,Published_Display_Value,Primary_Figure,Parallel_Figures,Value_Low,Value_Base,Value_High,Value_Parse_Note,Currency,Numerator_Unit,Denominator_Unit,Unit_Hint,Frequency,Performance_Basis,Time_Basis,Geography,Sector,Sector_Not_Included,Price_Year,Reference_Year,VAT_Basis,Primary_Evidence_ID,Evidence_Link_Count,Derivation_Method,Interface_Language,Applicability_Caveat,Selection_Group_ID,Selection_Rule,Scenario_Availability,Calc_Readiness,Factor_Status,Lifecycle_Status,Access_Classification,Factor_Availability,Version,Last_Reviewed,Source_Workbook,Source_Sheet,Source_Row
CCF-0001,CARD-0001,Adopt a net-zero buildings plan — Cost,cost,Energy & Buildings,Cost Factors,Cost,Cost,"Developing a net-zero building plan requires specialist assessment, staff time and programme management; budget per portfolio, site or project.",,Buildings & Refrigerants & Fugitive Emissions,,,,,,,Empty published value; numeric columns left blank.,,,,,,,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,,0,,"Developing a net-zero building plan requires specialist assessment, staff time and programme management; budget per portfolio, site or project.","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0001,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,GAP,1.0,2026-08-18,Consolidate.xlsx,工作表1,2
CCF-0002,CARD-0005,Measure and verify building energy performance — Cost,cost,Energy & Buildings,Cost Factors,Cost,Cost,Measuring and verifying building energy performance costs 1.5%–3.0% of annual guaranteed project savings.,,Buildings & Refrigerants & Fugitive Emissions,1.5%–3.0% of annual guaranteed project cost savings,1.5%–3.0% of annual guaranteed project cost savings,,1.5,,3,Range taken from the published display string. Value_Base left blank (no midpoint invented).,,percent,,% of annual guaranteed project cost savings,annual,,annual,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure",Exclude sites without sufficient interval or billing data until a baseline can be established.,,,,CEVID-0001,1,Annual M&V cost = annual guaranteed project cost savings × 1.5%–3.0%,Measuring and verifying building energy performance costs 1.5%–3.0% of annual guaranteed project savings.,Exclude sites without sufficient interval or billing data until a baseline can be established.,SG-INIT-0002,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,3
CCF-0003,CARD-0009,Optimise and upgrade HVAC systems and controls — Cost,cost,Energy & Buildings,Cost Factors,Cost,Cost,"Recommissioning HVAC sensors and controls costs £1.24–£4.68/m², with a £2.20/m² median; replacement benchmarks are £180/kW for air-cooled chillers and £4,300–£16,000 per m³/s for AHUs.",,Buildings & Refrigerants & Fugitive Emissions,"Recommissioning: £1.24–£4.68/m²; median £2.20/m² (2017 prices)
Air-cooled chiller: £180/kW total; £20/kW high-efficiency premium (2019 prices)
AHU: £16,000/m³/s at 1 m³/s or £4,300/m³/s at 13 m³/s; high-efficiency premiums £1,500 and £400/m³/s respectively (2019 prices)
Packaged AHU: £181,000 for 10.8 m³/s (2023 estimate)",Recommissioning: £1.24–£4.68/m²; median £2.20/m² (2017 prices),"Air-cooled chiller: £180/kW total; £20/kW high-efficiency premium (2019 prices) | AHU: £16,000/m³/s at 1 m³/s or £4,300/m³/s at 13 m³/s; high-efficiency premiums £1,500 and £400/m³/s respectively (2019 prices) | Packaged AHU: £181,000 for 10.8 m³/s (2023 estimate)",1.24,,4.68,Range taken from the published display string. Value_Base left blank (no midpoint invented).,GBP,money,m²,Recommissioning: /m²; median /m² ( prices) Air cooled chiller: /kW total; /kW high efficiency premium ( prices) AHU: /m³/s at m³/s or /m³/s at m³/s; high efficiency premiums and /m³/s respectively ( prices) Packaged AHU: for m³/s ( estimate),,,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0006,4,"Recommissioning: £1.24/m² = US$1.60 ÷ 1.2888; £2.20/m² = US$2.84 ÷ 1.2888; £4.68/m² = US$6.03 ÷ 1.2888
Chiller premium = £180−£160=£20/kW
1 m³/s AHU premium = £16,000−£14,500=£1,500/m³/s
13 m³/s AHU premium = £4,300−£3,900=£400/m³/s
Packaged AHU total = (10.8×£12,000)+£10,000+£41,880=£181,480≈£181,000","Recommissioning HVAC sensors and controls costs £1.24–£4.68/m², with a £2.20/m² median; replacement benchmarks are £180/kW for air-cooled chillers and £4,300–£16,000 per m³/s for AHUs.","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0003,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,4
CCF-0004,CARD-0013,Install smart draught beverage dispense systems — Cost,cost,Energy & Buildings,Cost Factors,Cost,Cost,"HEINEKEN’s published 2025 service fees are £30 per tap per month for its own and partner brands and £50 for third-party brands, while current cellar and remote energy controls cost £31 and £16 per month.",,Energy Management,"SmartDispense CellarPro, BarPro CF or CellarPro CF: £30/tap/month ex VAT for HEINEKEN and partner brands; £50/tap/month for third-party brands. Underbar: £35/£55 per tap/month. Cellar Manager: £31/month. Remote Manager: £16/month. Ten partner-brand taps plus both energy controls: £4,164/year ex VAT.","SmartDispense CellarPro, BarPro CF or CellarPro CF: £30/tap/month ex VAT for HEINEKEN and partner brands; £50/tap/month for third-party brands. Underbar: £35/£55 per tap/month. Cellar Manager: £31/month. Remote Manager: £16/month. Ten partner-brand taps plus both energy controls: £4,164/year ex VAT.",,,0,,Single published figure stored as Value_Base.,GBP,money,tap,SmartDispense CellarPro BarPro CF or CellarPro CF: /tap/month ex VAT for HEINEKEN and partner brands; /tap/month for third party brands. Underbar: / per tap/month. Cellar Manager: /month. Remote Manager: /month. Ten partner brand taps plus both energy controls: /year ex VAT.,annual,,annual,,"Pubs, bars and breweries; restaurants, hotels, experiential leisure and contract caterers operating draught beer or cider","Sites without draught beer or cider service, including most QSR; concession sites without control of dispense equipment",,,,CEVID-0017,3,"The 2025 terms provide the per-tap monthly service fees. The 10-tap benchmark is (10 × £30 + £31 + £16) × 12 = £4,164 ex VAT. HEINEKEN retains ownership of installed SmartDispense equipment, so the published equipment values are replacement values rather than customer purchase prices.","HEINEKEN’s published 2025 service fees are £30 per tap per month for its own and partner brands and £50 for third-party brands, while current cellar and remote energy controls cost £31 and £16 per month.","Sites without draught beer or cider service, including most QSR; concession sites without control of dispense equipment",SG-INIT-0004,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,5
CCF-0005,CARD-0017,Install timer controls across eligible equipment — Cost,cost,Energy & Buildings,Cost Factors,Cost,Cost,"A basic 7-day timer costs £11.98, a fused-spur timer costs £37.00, a two-channel heating and hot-water programmer costs £96.70, and a robust commercial controller costs £196 ex VAT.",,Buildings & Refrigerants & Fugitive Emissions,"Plug-in 7-day timer: £11.98 inc VAT, 10 A and up to 2.4 kW; fused-spur 7-day timer: £37.00 inc VAT and suitable for loads up to 3 kW; two-channel heating and hot-water programmer: £96.70 inc VAT; commercial 7-day 13 A controller: £196 ex VAT","Plug-in 7-day timer: £11.98 inc VAT, 10 A and up to 2.4 kW; fused-spur 7-day timer: £37.00 inc VAT and suitable for loads up to 3 kW; two-channel heating and hot-water programmer: £96.70 inc VAT; commercial 7-day 13 A controller: £196 ex VAT",,,7,,Single published figure stored as Value_Base.,GBP,money,,Plug in day timer: inc VAT A and up to kW; fused spur day timer: inc VAT and suitable for loads up to kW; two channel heating and hot water programmer: inc VAT; commercial day A controller: ex VAT,,,,,"Restaurants; QSR; pubs, bars and breweries; contract caterers with control of site equipment; hotels; experiential leisure","Life-safety, security and IT systems; food-storage refrigeration compressors without validated smart controls; 24/7 guest-critical loads; equipment without a safe shutdown sequence or asset-control rights",,,,CEVID-0023,4,"Direct UK supplier prices for timer hardware. Plug-in units suit appropriate socket loads; fused-spur units suit fixed low-load equipment; heating programmers control separate heating and hot-water schedules; commercial controllers suit more robust applications. Hardwired, high-load and three-phase equipment may require an electrician, enclosure, relay or contactor, so installed cost should be quoted site by site.","A basic 7-day timer costs £11.98, a fused-spur timer costs £37.00, a two-channel heating and hot-water programmer costs £96.70, and a robust commercial controller costs £196 ex VAT.","Life-safety, security and IT systems; food-storage refrigeration compressors without validated smart controls; 24/7 guest-critical loads; equipment without a safe shutdown sequence or asset-control rights",SG-INIT-0005,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,6
CCF-0006,CARD-0021,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls — Cost",cost,Energy & Buildings,Cost Factors,Cost,Cost,"Installing VSDs and efficient motors costs £1,200 per installed 2.2 kW inverter, ~£2,500 per pump point or £1,300 per 11 kW IE4 motor; full demand-controlled kitchen ventilation costs approximately £17,000/site.",,Buildings & Refrigerants & Fugitive Emissions,"VSD: £1,200 per installed 2.2 kW inverter; approximately £2,500 per pump point including controls, design and making good (4-unit project average)
High-efficiency motor: £1,300 per 11 kW IE4 motor; £118/kW purchase-only (2018 example)
Demand-controlled kitchen ventilation: approximately £17,000/site, inferred from the cited pub saving and payback","VSD: £1,200 per installed 2.2 kW inverter; approximately £2,500 per pump point including controls, design and making good (4-unit project average)","High-efficiency motor: £1,300 per 11 kW IE4 motor; £118/kW purchase-only (2018 example) | Demand-controlled kitchen ventilation: approximately £17,000/site, inferred from the cited pub saving and payback",,1200,,Single published figure stored as Value_Base.,GBP,money,kW,VSD: per installed kW inverter; approximately per pump point including controls design and making good ( unit project average) High efficiency motor: per kW IE motor; /kW purchase only ( example) Demand controlled kitchen ventilation: approximately /site inferred from the cited pub saving and payback,,,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure; kitchen demand controls apply only where commercial kitchens and relevant asset/control rights exist","Fixed-speed or process-critical loads where compatibility, duty profile or run hours do not support variable control; sites without commercial kitchens for DCKV; sites where the operator cannot modify ventilation or motor controls.",,,,CEVID-0033,3,"Inverters: £4,800 ÷ 4 = £1,200/unit
All-in VSD project: (£4,800 + £3,000 + £2,340) = £10,140 ≈ £10,000; £10,000 ÷ 4 = £2,500/pump point
High-efficiency motor: £1,300 ÷ 11 kW = £118.18/kW ≈ £118/kW
DCKV implied investment: £9,041/year × 1.88 years = £16,997.08 ≈ £17,000/site","Installing VSDs and efficient motors costs £1,200 per installed 2.2 kW inverter, ~£2,500 per pump point or £1,300 per 11 kW IE4 motor; full demand-controlled kitchen ventilation costs approximately £17,000/site.","Fixed-speed or process-critical loads where compatibility, duty profile or run hours do not support variable control; sites without commercial kitchens for DCKV; sites where the operator cannot modify ventilation or motor controls.",SG-INIT-0006,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,7
CCF-0007,CARD-0025,"Recover and reuse waste heat from refrigeration, cooking or wastewater — Cost",cost,Energy & Buildings,Cost Factors,Cost,Cost,"Recovering heat from refrigeration, cooking extract and wastewater requires refrigeration system >£64,000 per 250 kWth (>£256/kWth); cooking-extract and wastewater systems require site quotes.",,Buildings & Refrigerants & Fugitive Emissions,"Refrigeration-condenser heat recovery: >£64,000 per 250 kWth system; >£256/kWth; >£67.9 per annual MWhth recovered (2021 case)
Cooking-extract and wastewater heat recovery: supplier quote required","Refrigeration-condenser heat recovery: >£64,000 per 250 kWth system; >£256/kWth; >£67.9 per annual MWhth recovered (2021 case)",Cooking-extract and wastewater heat recovery: supplier quote required,,64000,,Single published figure stored as Value_Base.,GBP,money,kWth,Refrigeration condenser heat recovery: > per kWth system; >/kWth; > per annual MWhth recovered ( case) Cooking extract and wastewater heat recovery: supplier quote required,annual,,annual,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Sites without a stable heat source and coincident heat demand, or without asset/pipework control.",,,,CEVID-0045,1,">£64,000 ÷ 250 kWth = >£256/kWth
>£64,000 ÷ 943 MWhth/year = >£67.9 per annual MWhth recovered","Recovering heat from refrigeration, cooking extract and wastewater requires refrigeration system >£64,000 per 250 kWth (>£256/kWth); cooking-extract and wastewater systems require site quotes.","Sites without a stable heat source and coincident heat demand, or without asset/pipework control.",SG-INIT-0007,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,8
CCF-0008,CARD-0029,Upgrade boiler burner controls and balance heat-distribution systems — Cost,cost,Energy & Buildings,Cost Factors,Cost,Cost,"Upgrading boiler burner controls and balancing heat distribution requires a supplier quote; the cited cases reported annual savings of £9,605 and £60,000.",,Buildings & Refrigerants & Fugitive Emissions,"£9,605/year fuel-cost saving (NHS); £60,000/year energy saving (Leadenhall)","£9,605/year fuel-cost saving (NHS); £60,000/year energy saving (Leadenhall)",,,9605,,Single published figure stored as Value_Base.,GBP,money,year,/year fuel cost saving (NHS); /year energy saving (Leadenhall),annual,,annual,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0053,1,"NHS implied pre-control annual fuel cost: £9,605 ÷ 7.03% = £136,629","Upgrading boiler burner controls and balancing heat distribution requires a supplier quote; the cited cases reported annual savings of £9,605 and £60,000.","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0008,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,9
CCF-0009,CARD-0033,"Upgrade domestic hot-water generation, storage and circulation controls — Cost",cost,Energy & Buildings,Cost Factors,Cost,Cost,"Installing demand-based hot-water circulation controls requires dHW recirculation demand control £1,453–£1,998 per hotel system; generation and distribution upgrades require site quotes.",,Buildings & Refrigerants & Fugitive Emissions,"DHW recirculation demand control: £1,453–£1,998 per hotel system (2018 converted)
Generation, storage, insulation and distribution upgrades: supplier quote required","DHW recirculation demand control: £1,453–£1,998 per hotel system (2018 converted)","Generation, storage, insulation and distribution upgrades: supplier quote required",1453,,1998,Range taken from the published display string. Value_Base left blank (no midpoint invented).,GBP,money,,DHW recirculation demand control: per hotel system ( converted) Generation storage insulation and distribution upgrades: supplier quote required,,,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Experiential Leisure; Contract Caterers only where delegated asset/capital control is documented","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",,,,CEVID-0057,2,"£1,453 = 1,940 ÷ 1.3356
£1,739 = 2,323 ÷ 1.3356
£1,998 = 2,668 ÷ 1.3356","Installing demand-based hot-water circulation controls requires dHW recirculation demand control £1,453–£1,998 per hotel system; generation and distribution upgrades require site quotes.","Exclude sites where the operator does not control the relevant asset, utility, specification or capital decision.",SG-INIT-0009,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,10
CCF-0010,CARD-0037,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours — Cost",cost,Energy & Buildings,Cost Factors,Cost,Cost,Installing timers and automated shutdown controls costs £22.82 per plug-in timer; £150–£300 per hardwired time-clock point.,,Buildings & Refrigerants & Fugitive Emissions,£22.82 per plug-in timer; £150–£300 per hardwired time-clock point,£22.82 per plug-in timer; £150–£300 per hardwired time-clock point,,150,,300,Range taken from the published display string. Value_Base left blank (no midpoint invented).,GBP,money,,per plug in timer; per hardwired time clock point,,,,,"Restaurants, QSRs, Pubs/Bars/Breweries, Hotels, Contract Caterers, Experiential Leisure","Safety-critical, food-safety, refrigeration, life-safety or continuously required loads.",,,,CEVID-0064,2,1 × £22.82 = £22.82; published installed range = £150–£300,Installing timers and automated shutdown controls costs £22.82 per plug-in timer; £150–£300 per hardwired time-clock point.,"Safety-critical, food-safety, refrigeration, life-safety or continuously required loads.",SG-INIT-0010,ALL_FOUR_SLOTS,DISPLAY_ONLY,display_only,ACTIVE,ACTIVE,PUBLIC,STANDARD,1.0,2026-08-18,Consolidate.xlsx,工作表1,11
