Case_ID,Initiative_ID,Initiative_Name,Sort_Order,Title,Narrative,Source_Count,Source_Workbook,Source_Row
CASE-0001,INIT-0001,Adopt a net-zero buildings plan,1,Whitbread ESG Report,"Hotels & Restaurants: Portfolio net-zero plan – Whitbread
Rolling out low-carbon rooms across the estate delivered 2,300 low-carbon rooms and a 63% reduction in Scope 1 and 2 emissions intensity versus 2016/17. [1]

QSR: Net-zero restaurant blueprint – McDonald’s Market Drayton
McDonald’s replaced conventional man-made insulation with British sheep wool, used 250 m² of cladding made from recycled IT and white goods, and installed more than 1,000 kerbs made from 182 recycled plastic bottles each instead of conventional concrete kerbs. Two wind turbines and 92 m² of solar panels generate 60,000 kWh per year, while each recycled kerb has a 25 kgCO₂ lower footprint than a concrete equivalent. [2]",2,Consolidate.xlsx,2
CASE-0002,INIT-0002,Measure and verify building energy performance,1,Optimised Radisson Blu Case Study,"Hotels: Integrated HVAC, BEMS and CHP optimisation – Radisson Blu
The 218-room hotel had individually commissioned HVAC, BEMS, absorption-chiller and 285 kW bio-oil CHP systems that were not operating as one coordinated system. Existing submeters were connected to the Trend BEMS, half-hourly data established the baseline, analytics identified anomalies, and the CHP, boilers and electric and absorption chillers were then retuned and continuously recommissioned, reducing total energy by 30%, electricity by 17% and gas by 41% with payback under 12 months. [1]

Leased Buildings: Owner-occupier energy management – York House
The landlord and occupier formed an Environmental Management Group, installed automatic 15-minute energy monitoring, separated landlord-controlled common-area and HVAC loads from occupier-controlled loads, and agreed an annual Environmental Action Plan with named responsibilities. Annual energy fell by 1.1 million kWh, saving £63,000 and 416 tCO₂; landlord-controlled energy fell 32% and occupier-controlled energy fell 9%. [2]",2,Consolidate.xlsx,3
CASE-0003,INIT-0003,Optimise and upgrade HVAC systems and controls,1,Energy Technology List Coplow Centre Case,"Pubs / Community Hospitality: Heating-control recommissioning – Coplow Centre
The venue’s hall, meeting rooms, bar and commercial kitchen previously relied on costly heating with long warm-up times and limited control. A HeatingSave control system was installed to coordinate the boiler, radiant heater and solar system, link operating schedules to room bookings and occupancy sensors, and use self-learning optimum-start control, reducing the gas bill by 51% and warm-up time by 90%. [1]

Hotels: Whole-building HVAC and BEMS recommissioning – Radisson Blu
Rather than replacing the plant, the hotel used existing submeters and half-hourly BEMS data to diagnose poor interaction between HVAC, a 285 kW bio-oil CHP, boilers, an absorption chiller and electric chillers. Coordinating and continuously retuning these systems reduced total energy by 30%, electricity by 17% and gas by 41%, with payback under 12 months. [2]

Hotels / Resorts: Air-cooled to water-cooled chiller replacement – Commercial Resort, Bogor
The five-floor resort and convention centre has 7,738 m² of conditioned space covering its lobby, ballrooms, meeting rooms, restaurants and guestrooms. Three fixed-speed McQuay air-cooled screw chillers installed in 1999, each rated at 155 TR (545.11 kW), COP 5.71 and IPLV 3.82, were replaced in 2020 by two fixed-speed TICA water-cooled screw chillers, each rated at 185 TR (650.62 kW), COP 6.07 and IPLV 5.59. Modelled and measured post-installation performance showed 17.5% lower energy consumption, 2,860 tCO₂e lower annual emissions and 13.4% lower life-cycle cost while maintaining indoor comfort. [3]

QSR: Rooftop HVAC and kitchen-hood redesign – Wendy’s
At two rebuilt restaurants in Mobile, Alabama, the control site used two high-efficiency rooftop units plus a dedicated make-up-air unit, while the upgraded site paired new lower-airflow kitchen hoods with two Trane Voyager rooftop units using eFlex variable-speed compressors. Over the first 8 months, total energy fell 24% at the upgraded site versus 13% at the control; a later Columbus retrofit cut rooftop-unit energy by more than 60% and total restaurant energy by more than 10%. [4]",4,Consolidate.xlsx,4
CASE-0004,INIT-0004,Install smart draught beverage dispense systems,1,"Lisini Pub Co SmartDispense case, Scottish Licensed Trade News","Pubs / Hotels – Six-Week SmartDispense Rollout – Lisini Pub Co [1]
Lisini installed HEINEKEN SmartDispense across its venues after engaging its maintenance team, supplier and independent trade advisers. The system replaced frequent manual line cleaning with a supplier-managed six-week cycle, reduced beer, water and chemical losses, simplified keg changes and added a 54-point technical check at each service. Lisini’s procurement manager estimates annual savings above £40,000 across the group, with further savings from lower cellar-cooling energy.

Pubs – SmartDispense Across 200 Star Pubs [2]
Star Pubs analysed 200 installations where SmartDispense was the only reported operational change. Published results showed an 8% sales uplift, around 4,500 litres of water and 33 litres of cleaning chemical saved per pub each year, 3% more beer reaching the glass and 3% less entering drip trays. Across the estate, Star reported £5 million of additional annual value.

Hotels / Leisure – Reduced Line-Cleaning Waste – Bluestone National Park Resort [3]
Bluestone moved routine line cleaning to the SmartDispense service and reported average savings of 45 pints and 3 staff hours per bar each week after two years. This equates to approximately 2,340 pints and 156 staff hours per bar annually while maintaining clean lines and consistent beer quality.

Experiential Leisure – Enclosed Keg-to-Glass Dispense – Crucible Corner, Sheffield [4]
The theatre venue installed Carlsberg’s enclosed, continuously chilled Quality Dispense System. During its first three months, the team cleaned the lines only three times while reporting consistently crisp product quality. The wider system extends cleaning from weekly to four-weekly, while CQDS Plus can reach ten weeks; Carlsberg reports average venue water savings of 4,000 litres and at least 30% lower cooler energy costs.

Hotels / Leisure – Fobbing Reduction – Nailcote Hall Hotel, Golf & Country Club [5]
Nailcote Hall replaced its standard dispense setup with Carlsberg’s continuously chilled system. The food and beverage manager reported that fobbing was almost eliminated, wastage was near zero and four-weekly cleaning substantially reduced beer sent to drain while maintaining product quality.",4,Consolidate.xlsx,5
CASE-0005,INIT-0005,Install timer controls across eligible equipment,1,The Folly Energy Saving Recommendations Report,"Restaurant / Bar – Scheduling a 9.5 kW Hot-Water Boiler – The Folly, Oxford [1]
A 9.5 kW domestic hot-water boiler was found operating 24 hours a day. The audit recommended a 7-day timer that starts the boiler 30 minutes before demand and switches it off from midnight to 9am. The audit summary estimated £68 implementation cost, 683 kWh and £18 annual saving, approximately 0.13 tCO2e avoided and a 3.8-year payback.

Restaurant – Staggered Kitchen Fire-Up and Shutdown – UK Restaurant [2]
An energy specialist fixed a broken kitchen-extraction timer, delayed extract start until 10am, switched the glasswasher on later, turned the cutlery polisher off between uses, shut equipment down during quiet service and introduced a gradual close-down routine. The combined scheduling and behavioural package saved £18,000 and 28 tCO2 annually; the result is a bundled operational saving rather than a timer-only claim.

Pub – Smart Cellar Cooler Timers – Stonegate Pub Company [3]
Following a successful trial, Stonegate rolled cellar controls out to 550 sites. Cellar Manager controls reduced main cellar-cooler energy by up to 30%, while Smart Python Timers were programmed to each pub's opening hours and switched remote coolers off overnight, delivering a further 25% energy reduction while maintaining product quality.

Hotel / Leisure – 15-Minute Whirlpool-Blower Run-Back Timer – Hotel Case [4]
A 3 kW whirlpool blower drawing approximately 2.5 kW was operating from 8am to midnight. A 15-minute wind-up timer was estimated to reduce annual runtime by 4,380 hours, or 75%, save 11,000 kWh a year and achieve payback in under one month.

QSR – Automated Scheduling for Walk-Ins, HVAC and Lighting – National Hamburger Chain [5]
A national hamburger QSR tested adaptive walk-in controls, smart thermostat schedules and lighting controls at three locations over six weeks. The supplier-reported results showed energy reductions of up to 27% for walk-ins, 43% for HVAC and 8% for lighting, demonstrating the broader opportunity to automate equipment schedules beyond boilers.",5,Consolidate.xlsx,6
CASE-0006,INIT-0006,"Optimise fans and pumps with variable-speed drives, efficient motors and demand controls",1,Energy Technology List Wetherspoon Case,"Pubs: Demand-controlled kitchen ventilation – Wetherspoon Jack Fairman, Horley
The pub integrated the ETL-listed Quintex CHEETAH demand-control system with its HVAC controls. Temperature, optical and flow sensors detect heat, steam and smoke and adjust extract and supply fan speed so ventilation only runs at the level required by cooking demand. Fan energy fell by 69%, saving 36,167 kWh, £9,041 and 8.1 tCO₂ per year with 1.88-year payback; a 654-site rollout reportedly saved more than 7 million kWh and £1.47 million annually. [1]

QSR: Variable-speed rooftop HVAC – Wendy’s
Wendy’s combined lower-airflow kitchen hoods with Trane Voyager rooftop units using eFlex variable-speed compressors, allowing cooling and fan output to follow actual load instead of operating at fixed capacity. A Columbus retrofit used more than 60% less rooftop-unit energy in the first 2 months and reduced total restaurant energy by more than 10%; the design became a standard option for new company and franchise sites. [2]

Leisure: Variable-speed pool circulation – Leicester
Five variable-speed drives were fitted to swimming-pool circulation plant so pump speed could be reduced when full flow was not required, replacing fixed-speed operation. The installation saved 240,000 kWh per year, equal to 48,000 kWh per VSD, with 1.11-year payback and no measurable decline in water quality. [3]",3,Consolidate.xlsx,7
CASE-0007,INIT-0007,"Recover and reuse waste heat from refrigeration, cooking or wastewater",1,UK Government Yeo Valley Heat Recovery Case,"Food Production: Refrigeration heat recovery – Yeo Valley
The dairy’s refrigeration system rejected condenser heat to air while cleaning water was heated by steam from an 85%-efficient natural-gas boiler. Yeo Valley installed a CO₂ refrigeration plant with an integral 250 kW plate heat exchanger, controls, protection and insulated storage linked to the existing hot-water ring main, raising water from 10°C to 65°C and recovering 943 MWh per year; the system cost more than £64,000 before a 30% grant, offsets nearly £22,000 of gas cost and avoids 175 tCO₂e annually with about 2-year payback. [1]

QSR: Kitchen-exhaust heat recovery pilot – Burger King Welwyn Garden City
Burger King installed Enjay exhaust heat recovery on a new restaurant where roughly 1 m³/s of hot, moist and contaminated kitchen exhaust would otherwise be discharged outdoors. The pilot used site simulation, measured performance and comparison with similar restaurants to test the business case; the pre-installation model estimated around 80,000 kWh of recoverable heat per restaurant per year, with actual performance to be validated through monitoring. [2]",2,Consolidate.xlsx,8
CASE-0008,INIT-0008,Upgrade boiler burner controls and balance heat-distribution systems,1,Energy Technology List Leadenhall Autoflame Case,"Commercial Buildings: Boiler burner controls – Leadenhall Building
The building upgraded ageing boiler-burner controls with Autoflame Mini Mk8 MM micro-modulating controllers, which continuously adjust the fuel-air ratio instead of relying on less precise conventional burner control. The upgrade saved £60,000 and 180 tCO₂ per year with a 2-year ROI. [1]

Healthcare: Boiler burner controls – NHS site
An NHS site applied the same micro-modulating burner-control technology to ageing and unreliable boiler plant, improving combustion control and reducing fuel cost by 7.03%, carbon emissions by 15.14% and NOx by more than 59%. [2]",1,Consolidate.xlsx,9
CASE-0009,INIT-0009,"Upgrade domestic hot-water generation, storage and circulation controls",1,Minnesota Hotel DHW Recirculation Study,"Hotels: Demand-based hot-water recirculation – Three-hotel field study
Demand-based circulation controls reduced water-heating energy by 9.9%–15.9% and pump electricity by 70%–93% in the two fully measured hotels, with 1.8–2.1-year payback. [1]

Hotels: DHW monitoring and rapid fault response – Hampton Inn & Suites Boston
Continuous temperature monitoring identified an overnight water-heater trip; resetting the burner restored normal hot-water service within 1 hour before guests were affected. [2]",2,Consolidate.xlsx,10
CASE-0010,INIT-0010,"Automate shutdown of non-HVAC, non-lighting equipment outside operating hours",1,U.S. GSA Advanced Power Strips Findings,"International: Automated plug-load shutdown – GSA facilities
Advanced power strips and schedule controls reduced plug loads by 48% on average, including nearly 50% in kitchens and printer rooms; kitchen applications achieved 0.7-year payback. [1]

Restaurants: Off-peak kitchen-equipment shutdown – Shari’s Café & Pies
Shutdown checklists for second cook lines and broiler burners supported a wider equipment-use programme that cut electricity by 6%, gas by 25% and water by more than 40% between 2008 and 2015. [2]",2,Consolidate.xlsx,11
