please ensure that 1. Climate G&S and 2. Regulation and Frameworks (Climate Risk and Adaptation related initiatives ) are covered here,,,,,,,,,,,,,,,,
Sno,topic,Sub Topic,Initiative,Old Initiative,Sub-Sector included,Sub-Sector Excluded,Description,Why/Benefit,How to achieve this,KPI (Measurable Objective),Evidence/Case Study,Evidence Reference,Cost Saving/Cost ,Carbon Abatement Potential,Time to implement/ROI,Efficiency/Impact measure
,,Governance,Allocate responsibility at Board level,Allocate responsibility at Board level,All,None,"Assign formal oversight and accountability for sustainability and climate-related matters to the Board, ensuring sustainability is integrated into strategic decision-making and organisational governance.","Visible Board ownership demonstrates leadership commitment and ensures sustainability is treated as a strategic business issue rather than an operational initiative. Effective Board oversight strengthens accountability, supports better decision-making and helps ensure sufficient resources are allocated to deliver Net Zero objectives.","Assign responsibility for sustainability and climate-related matters to a designated Board member, Board committee or equivalent governing body. Clearly define decision-making authority, reporting lines and responsibilities, including oversight of climate-related risks, opportunities, targets and performance. Ensure sustainability is a standing agenda item at Board meetings and is considered when approving business strategy, investment decisions and major organisational changes.",100% of organisations have a named Board member or committee responsible for sustainability/climate matters. Sustainability performance reviewed by the Board at least quarterly.,"Board Risk Oversight – International Study. Research covering 377 publicly traded firms across 33 countries found that companies with more extensive Board risk oversight were more likely to establish environmental and social accountability, set environmental targets, implement environmental policies and issue E&S reports. Greater Board risk oversight was also associated with lower monetised environmental costs, providing evidence of an association between active Board oversight and stronger environmental governance and performance.",ScienceDirect – Journal of Accounting & Economics: https://www.sciencedirect.com/science/article/abs/pii/S0165410124000843,"Low. Costs are primarily associated with governance, reporting and Board training. Strong oversight can improve risk management, strengthen business resilience and support more effective investment decisions.","Indirect (Governance Enabler) – High. While Board oversight does not directly reduce greenhouse gas emissions, it strengthens governance, accountability and strategic decision-making, enabling more effective implementation of emissions reduction initiatives.","1–2 months to assign responsibilities, update governance structures and establish reporting processes.",% of Board meetings reviewing sustainability; % of climate actions reviewed by the Board; delivery rate against Net Zero milestones; % of sustainability KPIs on track.
,,Governance,Appoint a sustainability lead or assign executive responsibility for sustainability,,All,None,"Appoint a named individual with responsibility for leading, coordinating and monitoring sustainability activities across the organisation.","Without clear ownership, sustainability initiatives often become fragmented across departments. A dedicated lead improves coordination, maintains momentum, supports consistent decision-making and ensures accountability for delivering sustainability and Net Zero objectives.","Appoint a dedicated sustainability lead or assign responsibility to an existing senior employee, depending on organisational size and resources. Clearly define responsibilities, including coordinating cross-functional initiatives, overseeing sustainability data collection, monitoring KPIs, supporting regulatory compliance, managing sustainability reporting and engaging internal and external stakeholders. Ensure regular reporting to senior management and the Board.","Named sustainability lead appointed with documented responsibilities. At least 90% of agreed sustainability actions delivered or progressing to schedule, with performance formally reviewed at least quarterly.","Executive Sustainability Leadership – Empirical Evidence. A 2026 Journal of Environmental Management study examining 1,259 European firms found that substantively empowered Chief Sustainability Officer appointments improved corporate environmental performance, whereas symbolic appointments produced no environmental-performance gains and were associated with increased greenwashing. This indicates that executive sustainability leadership is most effective when accompanied by genuine authority and organisational influence. Corporate examples: Cargill appointed Pilar Cruz as Chief Sustainability Officer in 2021 and subsequently reported exceeding its 2025 operational emissions-reduction target. Mastercard, under executive-level sustainability leadership, reported a 40% reduction in Scope 3 emissions against its 2016 baseline while continuing to grow its business. These corporate examples demonstrate implementation and subsequent performance rather than establishing that executive appointments alone caused the reductions.",ScienceDirect – Journal of Environmental Management: https://www.sciencedirect.com/science/article/abs/pii/S0301479726008613 ; TIME / Mastercard: https://time.com/collections/time100-climate-2024/7172407/ellen-jackowski/,"Medium cost. May involve allocating existing staff time or recruiting a sustainability professional. Potential savings arise through better coordination, compliance, resource efficiency and identification of operational improvements.","Indirect (Organisational Enabler) – High. This initiative strengthens organisational capacity to plan, coordinate and implement emissions reduction activities.",1–3 months to appoint the role and establish responsibilities.,% of sustainability actions delivered on time; number of overdue actions; progress against emissions targets; % of sustainability KPIs on track; frequency of executive/Board reporting.
,,Governance,Establish a Sustainability Committee ,Establish a Sustainability Committee,All,None,"Establish a cross-functional Sustainability Committee—or clearly define an equivalent governance forum—to oversee implementation of the sustainability strategy, coordinate actions across departments and monitor progress against sustainability objectives.","Sustainability initiatives often span multiple business functions and cannot be delivered effectively by one department alone. A dedicated governance forum improves collaboration, clarifies ownership, resolves implementation challenges and ensures sustainability is consistently embedded into operational and strategic decision-making.","Establish a cross-functional Sustainability Committee with representatives from key business functions. Define clear roles, meeting schedules and responsibilities for overseeing sustainability initiatives, reviewing performance, managing risks and supporting delivery of the Net Zero Strategy.","Committee established with documented terms of reference and representatives from 100% of relevant functions. Meet at least quarterly, with ≥90% of agreed actions completed by their deadlines.","Sustainability Committees and Carbon Performance – International Study. Research examining 305 listed companies in France, Germany, the UK and Japan between 2015 and 2021 found that the presence of a sustainability committee was significantly associated with lower Scope 1 carbon-emissions intensity. Additional analysis found significant associations with lower Scope 1 and Scope 2 emissions in low-carbon sectors.",Wiley – Business Strategy and the Environment: https://onlinelibrary.wiley.com/doi/10.1002/bse.4332,Low cost. Primarily staff time and meeting administration. Improved coordination can reduce duplicated work and improve resource allocation.,"Indirect (Governance Enabler) – High. This initiative improves coordination, accountability and delivery of emissions reduction activities across the organisation.",1–2 months. Benefits from improved coordination can occur quickly; direct financial ROI is difficult to isolate.,Committee attendance rate; % of actions completed on time; number of sustainability risks/issues resolved; % of departments represented; progress against sustainability KPIs.
,,Governance,Link executive remuneration to sustainability and climate performance,Link Exec incentives to successfully delivering climate action,All,None,Incorporate sustainability and climate-related objectives into executive performance management and remuneration arrangements.,Aligning executive incentives with sustainability performance reinforces leadership accountability and encourages long-term decision-making that supports climate objectives alongside financial performance.,"Select a balanced set of measurable sustainability KPIs—such as emissions reductions, energy efficiency, waste reduction, supplier engagement or delivery of Net Zero milestones—and integrate these into executive performance reviews and remuneration policies where appropriate. Review KPIs annually to ensure they remain aligned with organisational priorities and long-term sustainability objectives.",100% of relevant executives have at least one measurable sustainability/climate KPI included in annual performance objectives. Track percentage of variable remuneration linked to sustainability and percentage of sustainability-linked objectives achieved.,"M&S – Plan A. Marks & Spencer incorporated sustainability into executive incentives, with every Executive Director having part of their bonus linked to Plan A delivery. M&S also reported approximately £160 million of annual net business benefit from Plan A in 2014/15. The case demonstrates integration of sustainability into executive remuneration, although the financial benefit cannot be attributed specifically to the incentive mechanism.",Marks & Spencer – Plan A: https://corporate.marksandspencer.com/newsroom/blog/reflections-plan-progress,Low cost. Mainly changes to remuneration/performance-management processes and KPI monitoring. Additional costs may arise from data assurance. Potential savings are indirect through stronger delivery of sustainability programmes.,Indirect (Leadership Enabler) – High. Incentive structures strengthen accountability and encourage delivery of emissions reduction initiatives.,"2–4 months, usually aligned with annual remuneration/performance review cycles. Financial ROI is indirect and should be evaluated through delivery of linked sustainability objectives.",% of executive remuneration linked to sustainability; % of executives with sustainability objectives; % of linked KPIs achieved; annual progress against emissions and Net Zero milestones.
,,Governance,Engage your shareholders around climate risks and opportunities,Engage your shareholders around climate risks and opportunities,All,None,"Communicate with investors, owners and shareholders on how climate-related risks, opportunities and transition plans may affect organisational performance and long-term value creation.","Transparent engagement strengthens stakeholder confidence, demonstrates accountability and helps ensure sustainability considerations are integrated into long-term business planning and investment decisions.","Provide regular updates on climate-related risks, opportunities, sustainability performance, Net Zero targets and transition planning through annual reports, investor communications and governance meetings. Encourage dialogue with investors and owners, respond to stakeholder feedback and ensure climate-related considerations are reflected in strategic discussions and capital allocation decisions.","Conduct at least one formal climate/sustainability engagement with key shareholders or investors annually. Track shareholder support for climate-related resolutions, number of substantive climate engagements and actions arising from stakeholder feedback.","Shareholder Climate Engagement – SSE. SSE worked closely with Climate Action 100+ during 2020/21 and subsequently put its proposal to become Net Zero across Scope 1, 2 and 3 emissions by 2050 or sooner to shareholders. The resolution received 99.96% support at its 2021 AGM. SSE subsequently established a framework enabling shareholders to regularly consider and provide advisory approval of its Net Zero Transition Report.",SSE – Enhancing Climate Engagement with Shareholders: https://www.sse.com/news-and-views/2022/06/enhancing-climate-engagement-with-shareholders/,"Low cost. Primarily investor-relations, reporting and management time. Benefits may include stronger investor confidence, improved access to capital and lower reputational/transition risk.","Indirect (Stakeholder Enabler) – Medium–High. While engagement does not directly reduce emissions, it strengthens governance, supports investment in decarbonisation and reinforces accountability for delivering climate commitments.",1–3 months to establish a formal engagement approach. Benefits are ongoing; financial ROI is indirect.,Number/% of key investors engaged; investor support for climate proposals; number of material issues raised/resolved; frequency of climate-related investor communications; progress against transition-plan commitments.
,,Governance,Regularly review sustainability performance at senior management and Board level.,"Introduce a performance, tracking and reporting mechanism for your Net Zero Strategy",All,None,"Establish a governance process for monitoring, reviewing and reporting progress against sustainability objectives, Net Zero targets and key performance indicators.","Regular performance reviews enable organisations to identify issues early, make informed decisions and maintain momentum towards sustainability objectives. Ongoing monitoring also improves accountability and supports continual improvement.","Define a set of sustainability KPIs aligned with the organisation's strategy and Net Zero objectives. Assign data owners, establish reporting frequencies and review progress against interim milestones at senior management and Board meetings. Use performance reviews to identify implementation barriers, adjust action plans and communicate progress internally and externally where appropriate.","100% of core sustainability KPIs reported at an agreed frequency, with senior management reviewing performance at least quarterly. Aim for ≥90% data completeness and track the proportion of sustainability targets on schedule.","Hilton – LightStay Performance Management Example. Hilton uses LightStay as a brand-standard system through which hotels measure and monitor environmental performance, including energy, carbon, water and waste. Hilton reported more than US$1 billion in cumulative utility savings and a 44% reduction in carbon-emissions intensity following implementation of LightStay. This supports the value of systematic measurement and performance monitoring rather than establishing that Board review itself caused the results.",Hilton – Environmental and Social Impact: https://stories.hilton.com/releases/hilton-celebrates-strong-year-of-positive-environmental-and-social-impact-recognized-for-seventh-consecutive-year-on-dow-jones-sustainability-indices ,"Low–Medium cost. Costs may include reporting software, data management, assurance and staff time. Effective monitoring can identify efficiency opportunities and support cost savings.",Indirect (Performance Enabler) – High. Monitoring and reporting strengthen implementation of emissions reduction initiatives by providing timely performance information and identifying opportunities for improvement.,1–3 months for an initial KPI and reporting framework. More advanced digital systems may take longer. ROI can arise through efficiencies and cost-saving opportunities identified by monitoring.,% of sustainability KPIs reported on time; data completeness/accuracy; % of targets on track; number of corrective actions completed; year-on-year emissions reduction; cost savings identified through performance monitoring.
,,Strategy,Develop a sustainability strategy informed by a double materiality assessment.,Clearly define your sustainability ambitions and social purpose. + Completed double materiality assessment,All,None,"Develop a long-term sustainability strategy based on a double materiality assessment, identifying the environmental, social and governance issues that are most significant to both the organisation and its stakeholders.","A sustainability strategy provides a clear long-term direction for decision-making, ensuring resources are focused on the issues that matter most. Using a double materiality approach helps organisations balance business resilience with environmental and social responsibility while responding to evolving stakeholder expectations.","Conduct a double materiality assessment to evaluate both the financial impacts of sustainability issues on the organisation and the organisation's impacts on people and the environment. Engage internal and external stakeholders, identify material topics, prioritise key sustainability issues and develop a Board-approved sustainability strategy aligned with the organisation's purpose, business objectives and long-term value creation. Review the strategy periodically to reflect changing business priorities, stakeholder expectations and regulatory developments.","Complete and Board approve a materiality-informed sustainability strategy. 100% of identified material topics assigned objectives, accountable owners and measurable KPIs. Review materiality assessment at least every 2–3 years or following major organisational/regulatory changes.","Material Sustainability Issues – Empirical Evidence. A peer-reviewed study found that firms with strong performance on financially material sustainability issues significantly outperformed firms with poor performance on those issues, whereas strong performance on immaterial sustainability issues did not produce the same result. This supports focusing sustainability strategy and resources on material issues, although the study specifically assesses financial materiality rather than double materiality.","The Accounting Review – Khan, Serafeim & Yoon.   https://publications.aaahq.org/accounting-review/article-abstract/91/6/1697/3898/Corporate-Sustainability-First-Evidence-on?redirectedFrom=fulltext","Low–Medium. Costs primarily involve stakeholder engagement, assessment, internal staff time and potentially external advisory support. Better prioritisation may improve resource allocation and reduce sustainability-related risks.",Indirect – High strategic enabling potential. Does not itself reduce emissions but helps prioritise high-impact sustainability and decarbonisation actions.,"2–4 months for assessment, strategy development and approval. Review every 2–3 years or following significant changes. Financial ROI is indirect and organisation-specific.",% of material topics with targets/KPIs; % of sustainability actions delivered on schedule; % of strategic objectives on track; frequency of strategy/materiality review.
,,Strategy,Calculate your baseline GHG footprint.,Calculate your baseline GHG footprint across all 3 scopes,All,None,"Develop a complete greenhouse gas inventory across Scope 1, Scope 2 and relevant Scope 3 emissions to establish a baseline for measuring future progress.","A robust emissions baseline provides the foundation for setting targets, prioritising emissions reduction opportunities and monitoring progress over time. Without understanding current emissions, organisations cannot develop credible decarbonisation strategies.","Define organisational and operational boundaries using the GHG Protocol. Calculate emissions across Scope 1, Scope 2 and relevant Scope 3 categories using recognised emission factors. Identify emissions hotspots, document assumptions and establish annual reporting processes. Improve data quality over time through supplier engagement and increased use of primary data.","Complete a Scope 1, 2 and relevant Scope 3 GHG inventory covering ≥95% of estimated material emissions, with a documented baseline year and methodology. Update the inventory annually and monitor data quality/completeness.","Hilton – LightStay. Hilton introduced LightStay to systematically measure and manage energy, carbon, water and waste performance across its hotel portfolio. Hilton reported a 44% reduction in carbon-emissions intensity and more than US$1bn in cumulative utility-cost savings following LightStay's introduction. This illustrates how systematic environmental measurement and monitoring can support performance management and efficiency identification, rather than proving that baseline measurement alone caused these outcomes.",Hilton – LightStay / environmental performance.,"Low–Medium. Costs include data collection, calculation tools/software, staff time and potentially external support. Measurement may help identify energy, procurement and operational-efficiency opportunities.",Indirect – High strategic enabling potential. Does not directly reduce emissions but identifies hotspots and establishes the evidence base required to prioritise emissions-reduction actions.,"2–6 months, depending on organisational complexity and data availability. Update annually. ROI is indirect through efficiencies identified and better targeting of investment.","% of emissions coverage; % of activity data based on primary rather than estimated data; data completeness; annual change in Scope 1, 2 and 3 emissions; number/value of reduction opportunities identified through footprint analysis."
,,Strategy,Use the TCFD framework to review and disclose your climate-related risks and opportunities.,Use the TCFD framework to review and disclose your climate-related risks and opportunities.,All,None,"Identify and evaluate the physical and transition climate-related risks and opportunities that may affect organisational performance, resilience and long-term value creation.","Understanding climate risks improves organisational resilience, while identifying climate opportunities supports innovation, competitiveness and long-term business growth.","Assess physical risks such as flooding, heat stress and water scarcity alongside transition risks including policy changes, carbon pricing, market shifts and customer expectations. Identify climate-related business opportunities such as resource efficiency, low-carbon products, renewable energy and circular business models. Integrate findings into enterprise risk management, business strategy, investment decisions and financial planning.","Complete a climate risk and opportunity assessment covering 100% of material operations/assets. Quantify material risks where practicable, assign owners and mitigation actions, and review the assessment at least annually.","SSE – TCFD Implementation. SSE implemented the TCFD recommendations through activities including climate scenario analysis, quantification of climate-related risks and opportunities, and enhancement of governance and management of climate issues. The example demonstrates how TCFD analysis can be incorporated into organisational climate-risk management and strategic decision-making.",Accounting for Sustainability – SSE TCFD Implementation. https://www.accountingforsustainability.org/en/knowledge-hub/case-studies/sse-tcfd.html?utm_source=chatgpt.com,"Low–Medium. Costs include internal risk-management time, data, scenario analysis and potentially specialist modelling/advisory support. Benefits include improved resilience, risk identification and investment decision-making.","Indirect – Medium–High strategic enabling potential. Does not directly reduce emissions but can influence investment, adaptation and decarbonisation decisions.",2–4 months for an initial assessment; complex quantitative scenario analysis may take longer. Review at least annually. Financial ROI is primarily through improved risk management and avoided losses.,% of material assets/operations assessed; number/value of material physical and transition risks identified; % of material risks with mitigation plans; number/value of climate opportunities identified; annual change in residual climate-risk exposure.
,,Strategy,Develop a Net Zero Strategy.,"Set a Net Zero target (If so, provide Net zero by X year information)",All,None,"Develop a structured, long-term decarbonisation plan setting out how the organisation will reduce emissions and progress towards Net Zero, including priorities, milestones, responsibilities, resources and implementation mechanisms.","Converts climate ambition into an actionable roadmap. It helps organisations prioritise high-impact measures, coordinate actions across functions, plan investment and maintain accountability for emissions reduction over time.","Use the GHG inventory to identify major emissions sources and reduction levers. Develop short-, medium- and long-term actions covering relevant Scope 1, 2 and 3 emissions. Define responsibilities, timelines, resources and investment requirements. Prioritise direct emissions reductions and value-chain decarbonisation before neutralisation of residual emissions. Integrate the strategy into business planning and review progress annually.","Board-approved Net Zero Strategy covering ≥90% of the organisation's GHG footprint, with quantified interim milestones and named owners for 100% of priority actions. Review implementation progress at least annually.","Whistl – Net Zero Route Map. Whistl developed a data-driven decarbonisation strategy using its baseline carbon footprint, stakeholder engagement, assessment of relevant external drivers, science-based Net Zero target modelling, and development of KPIs and milestones. The resulting route map includes near-term reductions and a commitment to achieve Net Zero across Scope 1, 2 and 3 emissions by 2045.",Whistl ESG Annual Report 2023. https://online.flippingbook.com/view/129876575/27/,"Low–Medium strategy-development cost; potentially Medium–High implementation investment. Strategy development primarily requires analysis, stakeholder engagement and planning. Implementation costs vary substantially depending on required technologies and operational changes. Potential long-term savings include lower energy/resource costs.","Indirect strategy – Very High enabling potential. The strategy itself does not abate carbon, but its implementation can drive substantial direct and value-chain emissions reductions.",3–6 months to develop and approve; implementation is multi-year. ROI should ideally be assessed at individual action/project level rather than for the strategy as a whole.,% of roadmap actions completed on time; annual absolute tCO₂e reduction; % reduction against baseline; % of emissions covered by reduction actions; investment deployed against roadmap; proportion of interim milestones achieved.
